,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location
0,9 5 1 0 - 3 - T A M A N   S R I   T A N G K A K,SMS LAND SDN. BHD.,9510,9510-3/12-2017/03009(L),08 Dec 2016,07 Dec 2017,-,-,-,"9510-3,",SIAP DENGAN: CCC PENUH,9510-3/12-2017/03009(P),08 Dec 2016,07 Dec 2017,"RM 358,800.00",0.00mps,RUMAH TERES,2,0,0,0,15,4,"358,800.00","458,800.00",100.00,"[""2.270362, 102.523743""]",,https://teduh.kpkt.gov.my/project-swasta/9510-3,"(2000, '9510-3')"
1,9 5 1 0 - 3 - T A M A N   S R I   T A N G K A K,SMS LAND SDN. BHD.,9510,9510-3/12-2017/03009(L),08 Dec 2016,07 Dec 2017,-,-,-,"9510-3,",SIAP DENGAN: CCC PENUH,9510-3/12-2017/03009(P),08 Dec 2016,07 Dec 2017,"RM 358,800.00",0.00mps,RUMAH TERES,2,0,0,0,10,3,"408,800.00","456,800.00",100.00,"[""2.270362, 102.523743""]",,https://teduh.kpkt.gov.my/project-swasta/9510-3,"(2000, '9510-3')"
2,9 5 4 4 - 1 - T A M A N   H A R M O N I,NEWLAND FORTUNE SDN. BHD.,9544,9544-4/12-2016/02821(L),31 Dec 2015,30 Dec 2016,-,-,-,"9544-1,",SIAP DENGAN: CFO PENUH,9544-1/1034/2007(05),29 May 2006,28 May 2007,"RM 268,800.00",0.00mps,RUMAH SESEBUAH,2,0,0,0,1,1,"498,900.00","498,900.00",100.00,,,https://teduh.kpkt.gov.my/project-swasta/9544-1,"(2001, '9544-1')"
3,9 5 4 4 - 1 - T A M A N   H A R M O N I,NEWLAND FORTUNE SDN. BHD.,9544,9544-4/12-2016/02821(L),31 Dec 2015,30 Dec 2016,-,-,-,"9544-1,",SIAP DENGAN: CFO PENUH,9544-1/1034/2007(05),29 May 2006,28 May 2007,"RM 268,800.00",0.00mps,RUMAH BERKEMBAR,2,0,0,0,16,16,"268,800.00","329,890.00",100.00,,,https://teduh.kpkt.gov.my/project-swasta/9544-1,"(2001, '9544-1')"
4,9 5 4 4 - 2 - T A M A N   G A Y A,NEWLAND FORTUNE SDN. BHD.,9544,9544-4/12-2016/02821(L),31 Dec 2015,30 Dec 2016,-,-,-,"9544-2,",SIAP DENGAN: CFO PENUH,9544-2/1035/2007(06),06 Jun 2006,05 Jun 2007,"RM 238,800.00",0.00mps,RUMAH BERKEMBAR,1,0,0,0,14,14,"238,800.00","347,226.00",100.00,,,https://teduh.kpkt.gov.my/project-swasta/9544-2,"(2002, '9544-2')"
5,9 5 4 4 - 3 - N E W L A N D   F O R T U N E   S D N   B H D,NEWLAND FORTUNE SDN. BHD.,9544,9544-4/12-2016/02821(L),31 Dec 2015,30 Dec 2016,-,-,-,"9544-3,",SIAP DENGAN: CCC PENUH,-,-,-,"RM 255,000.00",0.00mps,RUMAH BERKEMBAR,1,0,0,0,1,0,"333,994.50","333,994.50",100.00,,,https://teduh.kpkt.gov.my/project-swasta/9544-3,"(2003, '9544-3')"
6,9 5 4 4 - 3 - N E W L A N D   F O R T U N E   S D N   B H D,NEWLAND FORTUNE SDN. BHD.,9544,9544-4/12-2016/02821(L),31 Dec 2015,30 Dec 2016,-,-,-,"9544-3,",SIAP DENGAN: CCC PENUH,-,-,-,"RM 255,000.00",0.00mps,RUMAH SESEBUAH,1,0,0,0,1,0,"461,706.00","461,706.00",100.00,,,https://teduh.kpkt.gov.my/project-swasta/9544-3,"(2003, '9544-3')"
7,9 5 4 4 - 3 - N E W L A N D   F O R T U N E   S D N   B H D,NEWLAND FORTUNE SDN. BHD.,9544,9544-4/12-2016/02821(L),31 Dec 2015,30 Dec 2016,-,-,-,"9544-3,",SIAP DENGAN: CCC PENUH,-,-,-,"RM 255,000.00",0.00mps,RUMAH BERKEMBAR,1,0,0,0,11,0,"255,000.00","392,710.50",100.00,,,https://teduh.kpkt.gov.my/project-swasta/9544-3,"(2003, '9544-3')"
8,9 5 4 4 - 4 - N E W L A N D   F O R T U N E   S D N   B H D,NEWLAND FORTUNE SDN. BHD.,9544,9544-4/12-2016/02821(L),31 Dec 2015,30 Dec 2016,-,-,-,"9544-4,",SIAP DENGAN: CCC PENUH,9544-4/12-2016/02821(P),31 Dec 2015,30 Dec 2016,"RM 492,000.00",169.66mps - 278.70mps,RUMAH BERKEMBAR,2,0,0,232,10,7,"728,000.00","844,668.00",100.00,"[""1.872637, 103.119140""]",,https://teduh.kpkt.gov.my/project-swasta/9544-4,"(2004, '9544-4')"
9,9 5 4 4 - 4 - N E W L A N D   F O R T U N E   S D N   B H D,NEWLAND FORTUNE SDN. BHD.,9544,9544-4/12-2016/02821(L),31 Dec 2015,30 Dec 2016,-,-,-,"9544-4,",SIAP DENGAN: CCC PENUH,9544-4/12-2016/02821(P),31 Dec 2015,30 Dec 2016,"RM 492,000.00",169.66mps - 278.70mps,RUMAH SESEBUAH,2,0,0,279,1,0,"850,000.00","850,000.00",100.00,"[""1.872637, 103.119140""]",,https://teduh.kpkt.gov.my/project-swasta/9544-4,"(2004, '9544-4')"
