,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,6 8 6 6 - 1 4 - T A M A N   R E D A N G,RAWHIDE SDN. BHD.,6866,6866/10-2026/1365(A),31 Oct 2019,30 Oct 2026,073641770,sales@rawhide.com.my,-,"6866-14,",SIAP DENGAN: CCC PENUH,6866-14/07-2015/02025(P),17 Jul 2014,16 Jul 2015,"RM 581,000.00",242mps - 267mps,RUMAH TERES,2,0,0,242,48,11,"581,000.00","872,850.00",100.00,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/6866-14,"(500, '6866-14')"
1,6 8 6 6 - 1 4 - T A M A N   R E D A N G,RAWHIDE SDN. BHD.,6866,6866/10-2026/1365(A),31 Oct 2019,30 Oct 2026,073641770,sales@rawhide.com.my,-,"6866-14,",SIAP DENGAN: CCC PENUH,6866-14/07-2015/02025(P),17 Jul 2014,16 Jul 2015,"RM 581,000.00",242mps - 267mps,RUMAH TERES,2,0,0,267,85,23,"615,000.00","956,150.00",100.00,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/6866-14,"(500, '6866-14')"
2,6 8 6 6 - 1 5 - P O N D E R O S A   W O O D S,RAWHIDE SDN. BHD.,6866,6866/10-2026/1365(A),31 Oct 2019,30 Oct 2026,073641770,sales@rawhide.com.my,-,"6866-15,",SIAP DENGAN: CCC PENUH,6866-15/10-2017/02854(P),31 Oct 2016,30 Oct 2017,"RM 2,728,000.00",439mps - 548mps,RUMAH BERKEMBAR,3,0,0,439,26,22,"2,728,000.00","3,603,200.00",100.00,SIAP DENGAN: CCC PENUH,"[""1.516564, 103.780673""]",,https://teduh.kpkt.gov.my/project-swasta/6866-15,"(501, '6866-15')"
3,6 8 6 6 - 1 5 - P O N D E R O S A   W O O D S,RAWHIDE SDN. BHD.,6866,6866/10-2026/1365(A),31 Oct 2019,30 Oct 2026,073641770,sales@rawhide.com.my,-,"6866-15,",SIAP DENGAN: CCC PENUH,6866-15/10-2017/02854(P),31 Oct 2016,30 Oct 2017,"RM 2,728,000.00",439mps - 548mps,RUMAH BERKEMBAR,3,0,0,548,18,12,"3,200,000.00","3,900,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""1.516564, 103.780673""]",,https://teduh.kpkt.gov.my/project-swasta/6866-15,"(501, '6866-15')"
4,6 8 6 6 - 1 5 - P O N D E R O S A   W O O D S,RAWHIDE SDN. BHD.,6866,6866/10-2026/1365(A),31 Oct 2019,30 Oct 2026,073641770,sales@rawhide.com.my,-,"6866-15,",SIAP DENGAN: CCC PENUH,6866-15/10-2017/02854(P),31 Oct 2016,30 Oct 2017,"RM 2,728,000.00",439mps - 548mps,RUMAH BERKEMBAR,3,0,0,450,14,10,"2,800,000.00","2,906,560.00",100.00,SIAP DENGAN: CCC PENUH,"[""1.516564, 103.780673""]",,https://teduh.kpkt.gov.my/project-swasta/6866-15,"(501, '6866-15')"
5,6 8 6 6 - 2 - T A M A N   R E D A N G,RAWHIDE SDN. BHD.,6866,6866/10-2026/1365(A),31 Oct 2019,30 Oct 2026,073641770,sales@rawhide.com.my,-,"6866-2,",SIAP DENGAN: CFO PENUH,6866-2/764/2011(05),20 May 2010,19 May 2011,"RM 248,000.00",0mps,RUMAH TERES,2,0,0,0,68,68,"298,000.00","678,350.00",95.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/6866-2,"(502, '6866-2')"
6,6 8 6 6 - 2 - T A M A N   R E D A N G,RAWHIDE SDN. BHD.,6866,6866/10-2026/1365(A),31 Oct 2019,30 Oct 2026,073641770,sales@rawhide.com.my,-,"6866-2,",SIAP DENGAN: CFO PENUH,6866-2/764/2011(05),20 May 2010,19 May 2011,"RM 248,000.00",0mps,RUMAH TERES,1,0,0,0,66,66,"248,000.00","498,350.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/6866-2,"(502, '6866-2')"
7,6 8 6 6 - 4 - T A M A N   R E D A N G,RAWHIDE SDN. BHD.,6866,6866/10-2026/1365(A),31 Oct 2019,30 Oct 2026,073641770,sales@rawhide.com.my,-,"6866-4,",SIAP DENGAN: CFO PENUH,6866-4/1100/2006(05),17 May 2005,16 May 2006,"RM 35,000.00",0mps,RUMAH PANGSA/KONDO,5,0,0,0,492,492,"35,000.00","35,000.00",95.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/6866-4,"(503, '6866-4')"
8,7 0 4 6 - 1 1 - T A M A N   M E S R A,KCC DEVELOPMENT (M) SDN. BHD.,7046,7046/11-2025/0630(A),20 Nov 2020,19 Nov 2025,6069538953,ll.tan@kcc-holdings.com,-,"7046-11,",SIAP DENGAN: CFO PENUH,7046-11/2528/2006(11),04 Nov 2005,03 Nov 2006,"RM 25,000.00",0mps,RUMAH TERES,1,0,0,0,22,22,"135,900.00","163,000.00",95.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7046-11,"(504, '7046-11')"
9,7 0 4 6 - 1 1 - T A M A N   M E S R A,KCC DEVELOPMENT (M) SDN. BHD.,7046,7046/11-2025/0630(A),20 Nov 2020,19 Nov 2025,6069538953,ll.tan@kcc-holdings.com,-,"7046-11,",SIAP DENGAN: CFO PENUH,7046-11/2528/2006(11),04 Nov 2005,03 Nov 2006,"RM 25,000.00",0mps,RUMAH SESEBUAH,1,0,0,0,2,2,"189,800.00","191,100.00",95.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7046-11,"(504, '7046-11')"
10,7 0 4 6 - 1 1 - T A M A N   M E S R A,KCC DEVELOPMENT (M) SDN. BHD.,7046,7046/11-2025/0630(A),20 Nov 2020,19 Nov 2025,6069538953,ll.tan@kcc-holdings.com,-,"7046-11,",SIAP DENGAN: CFO PENUH,7046-11/2528/2006(11),04 Nov 2005,03 Nov 2006,"RM 25,000.00",0mps,RUMAH TERES,2,0,0,0,20,20,"25,000.00","25,000.00",95.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7046-11,"(504, '7046-11')"
11,7 0 4 6 - 1 1 - T A M A N   M E S R A,KCC DEVELOPMENT (M) SDN. BHD.,7046,7046/11-2025/0630(A),20 Nov 2020,19 Nov 2025,6069538953,ll.tan@kcc-holdings.com,-,"7046-11,",SIAP DENGAN: CFO PENUH,7046-11/2528/2006(11),04 Nov 2005,03 Nov 2006,"RM 25,000.00",0mps,RUMAH TERES,2,0,0,0,44,44,"50,000.00","50,000.00",95.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7046-11,"(504, '7046-11')"
12,7 0 4 6 - 1 1 - T A M A N   M E S R A,KCC DEVELOPMENT (M) SDN. BHD.,7046,7046/11-2025/0630(A),20 Nov 2020,19 Nov 2025,6069538953,ll.tan@kcc-holdings.com,-,"7046-11,",SIAP DENGAN: CFO PENUH,7046-11/2528/2006(11),04 Nov 2005,03 Nov 2006,"RM 25,000.00",0mps,RUMAH TERES,1,0,0,0,11,11,"118,000.00","140,100.00",95.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7046-11,"(504, '7046-11')"
13,7 0 4 6 - 1 1 - T A M A N   M E S R A,KCC DEVELOPMENT (M) SDN. BHD.,7046,7046/11-2025/0630(A),20 Nov 2020,19 Nov 2025,6069538953,ll.tan@kcc-holdings.com,-,"7046-11,",SIAP DENGAN: CFO PENUH,7046-11/2528/2006(11),04 Nov 2005,03 Nov 2006,"RM 25,000.00",0mps,RUMAH TERES,1,0,0,0,48,48,"119,900.00","165,600.00",95.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7046-11,"(504, '7046-11')"
