,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location
0,1 0 1 3 8 - 6 - K U L I M   U T A M A   I I,MBAS JAYA SDN. BHD.,10138,10138/03-2027/0087(R),03 Mar 2024,02 Mar 2027,-,simzienyang3@gmail.com,-,"10138-6,",BERJALAN LANCAR,10138-6/08-2023/0476(A)-(L),18 Aug 2021,17 Aug 2023,"RM 445,740.00",111.51mps,RUMAH BERKEMBAR,1,"3, 4",2,112,68,0,"445,740.00","603,662.26",97.50,"[""5.387260, 100.583430""]",,https://teduh.kpkt.gov.my/project-swasta/10138-6,"(567, '10138-6')"
1,1 0 1 3 8 - 7 - K U L I M   U T A M A   I I,MBAS JAYA SDN. BHD.,10138,10138/03-2027/0087(R),03 Mar 2024,02 Mar 2027,-,simzienyang3@gmail.com,-,"10138-7,",BERJALAN LANCAR,10138-7/03-2024/0164(P),03 Mar 2022,02 Mar 2024,"RM 828,800.00",205.00mps,RUMAH BERKEMBAR,2,4,4,205,40,36,"828,800.00","956,200.00",27.25,"[""5.400337, 100.581027""]",,https://teduh.kpkt.gov.my/project-swasta/10138-7,"(598, '10138-7')"
2,1 0 1 8 1 - 7 - P E R M A T A   U T A M A,KAWASAN PERMATA REALTY SDN. BHD.,10181,10181/07-2026/0899(R),02 Jul 2023,01 Jul 2026,6044954288,kawasan.sales@gmail.com,-,"10181-7,",SAKIT,10181-7/07-2023/0454(A)-(L),02 Jul 2021,01 Jul 2023,"RM 479,000.00",109.69mps - 119.18mps,RUMAH BERKEMBAR,1,0,0,119,26,0,"479,000.00","862,933.20",97.50,"[""5.391861, 100.594611""]",,https://teduh.kpkt.gov.my/project-swasta/10181-7,"(568, '10181-7')"
3,1 0 1 8 1 - 7 - P E R M A T A   U T A M A,KAWASAN PERMATA REALTY SDN. BHD.,10181,10181/07-2026/0899(R),02 Jul 2023,01 Jul 2026,6044954288,kawasan.sales@gmail.com,-,"10181-7,",SAKIT,10181-7/07-2023/0454(A)-(L),02 Jul 2021,01 Jul 2023,"RM 479,000.00",109.69mps - 119.18mps,RUMAH BERKEMBAR,1,0,0,110,4,0,"549,600.00","569,640.00",97.50,"[""5.391861, 100.594611""]",,https://teduh.kpkt.gov.my/project-swasta/10181-7,"(568, '10181-7')"
4,1 0 1 8 1 - 8 - P E R M A T A   U T A M A,KAWASAN PERMATA REALTY SDN. BHD.,10181,10181/07-2026/0899(R),02 Jul 2023,01 Jul 2026,6044954288,kawasan.sales@gmail.com,-,"10181-8,",BERJALAN LANCAR,10181-8/02-2025/0159(N)-(L),21 Feb 2023,20 Feb 2025,"RM 548,900.00",119.18mps - 143.75mps,RUMAH SESEBUAH,1,0,0,144,1,1,"788,000.00","788,000.00",87.50,"[""5.391861, 100.594611""]",,https://teduh.kpkt.gov.my/project-swasta/10181-8,"(569, '10181-8')"
5,1 0 1 8 1 - 8 - P E R M A T A   U T A M A,KAWASAN PERMATA REALTY SDN. BHD.,10181,10181/07-2026/0899(R),02 Jul 2023,01 Jul 2026,6044954288,kawasan.sales@gmail.com,-,"10181-8,",BERJALAN LANCAR,10181-8/02-2025/0159(N)-(L),21 Feb 2023,20 Feb 2025,"RM 548,900.00",119.18mps - 143.75mps,RUMAH BERKEMBAR,1,0,0,119,20,0,"548,900.00","679,195.00",87.50,"[""5.391861, 100.594611""]",,https://teduh.kpkt.gov.my/project-swasta/10181-8,"(569, '10181-8')"
6,1 0 1 8 1 - 9 - P E R M A T A   H I L L   P A R K,KAWASAN PERMATA REALTY SDN. BHD.,10181,10181/07-2026/0899(R),02 Jul 2023,01 Jul 2026,6044954288,kawasan.sales@gmail.com,-,"10181-9,",BERJALAN LANCAR,10181-9/03-2025/0345(N)-(L),28 Mar 2023,27 Mar 2025,"RM 488,000.00",128.21mps,RUMAH BERKEMBAR,1,0,0,128,18,10,"488,000.00","620,400.00",43.33,"[""5.687029, 100.504740""]",,https://teduh.kpkt.gov.my/project-swasta/10181-9,"(570, '10181-9')"
7,1 0 2 1 2 - 6 - M U T I A R A   R E S I D E N C E,MK MUTIARA SDN. BHD.,10212,10212/03-2026/0490(R),24 Mar 2023,23 Mar 2026,047711085,mkmutiara@hotmail.com,-,"10212-6,",LEWAT,10212-6/03-2024/0856(R)-(L),24 Mar 2023,23 Mar 2024,"RM 433,200.00",184.00mps,RUMAH TERES,2,4,4,184,83,7,"433,200.00","599,480.00",64.34,"[""6.287549, 100.422862""]",,https://teduh.kpkt.gov.my/project-swasta/10212-6,"(522, '10212-6')"
8,1 0 2 1 2 - 7 - M U T I A R A   R E S I D E N C E,MK MUTIARA SDN. BHD.,10212,10212/03-2026/0490(R),24 Mar 2023,23 Mar 2026,047711085,mkmutiara@hotmail.com,-,"10212-7,",LEWAT,10212-7/05-2024/0021(N)-(L),16 May 2022,15 May 2024,"RM 620,000.00",232.25mps,RUMAH BERKEMBAR,2,0,0,232,14,0,"620,000.00","751,050.00",60.00,"[""6.291520, 100.421570""]",,https://teduh.kpkt.gov.my/project-swasta/10212-7,"(645, '10212-7')"
9,1 0 2 7 7 - 8 - T A M A N   R A F F L E S I A,HARMONY HOME DEVELOPMENT SDN. BHD.,10277,10277/02-2028/0192(A),15 Feb 2023,14 Feb 2028,-,harmonyhomedev@gmail.com,-,"10277-8,",BERJALAN LANCAR,10277-8/10-2025/1136(N)-(L),16 Oct 2023,15 Oct 2025,"RM 498,000.00",94.00mps - 254.18mps,RUMAH BERKEMBAR,2,4,3,198,9,8,"880,000.00","1,010,000.00",70.00,"[""6.106187, 100.341983""]",,https://teduh.kpkt.gov.my/project-swasta/10277-8,"(664, '10277-8')"
