,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location
0,"6 5 2 5 - 1 3 - T A M A N   T A S I K   U T A M A ,   A Y E R   K E R O H ,   M E L A K A ( 1 6 & 1 6 B )",METACORP PROPERTIES SDN. BHD.,6525,6525/12-2027/0536(A),20 Dec 2022,19 Dec 2027,062321128,hamidah.matsih@mtdgroup.com.my,www.mtdgroup.com,"6525-13,",SIAP DENGAN: CFO PENUH,6525-13/1229/2008(06),13 Jun 2007,12 Jun 2008,"RM 124,300.00",0.00mps,RUMAH TERES,1,0,0,0,23,23,"124,300.00","218,000.00",95.00,,,https://teduh.kpkt.gov.my/project-swasta/6525-13,"(0, '6525-13')"
1,"6 5 2 5 - 1 3 - T A M A N   T A S I K   U T A M A ,   A Y E R   K E R O H ,   M E L A K A ( 1 6 & 1 6 B )",METACORP PROPERTIES SDN. BHD.,6525,6525/12-2027/0536(A),20 Dec 2022,19 Dec 2027,062321128,hamidah.matsih@mtdgroup.com.my,www.mtdgroup.com,"6525-13,",SIAP DENGAN: CFO PENUH,6525-13/1229/2008(06),13 Jun 2007,12 Jun 2008,"RM 124,300.00",0.00mps,RUMAH BERKEMBAR,2,0,0,0,60,60,"294,300.00","504,500.00",95.00,,,https://teduh.kpkt.gov.my/project-swasta/6525-13,"(0, '6525-13')"
2,6 5 2 5 - 1 4 - T A M A N   T A S I K   U T A M A   1 7 A   &   1 7 B,METACORP PROPERTIES SDN. BHD.,6525,6525/12-2027/0536(A),20 Dec 2022,19 Dec 2027,062321128,hamidah.matsih@mtdgroup.com.my,www.mtdgroup.com,"6525-14,",SIAP DENGAN: CCC PENUH,6525-14/32/2010(01),06 Jan 2009,05 Jan 2010,"RM 135,000.00",0.00mps,RUMAH TERES,1,0,0,0,54,54,"135,000.00","223,000.00",95.00,,,https://teduh.kpkt.gov.my/project-swasta/6525-14,"(1, '6525-14')"
3,6 5 2 5 - 1 4 - T A M A N   T A S I K   U T A M A   1 7 A   &   1 7 B,METACORP PROPERTIES SDN. BHD.,6525,6525/12-2027/0536(A),20 Dec 2022,19 Dec 2027,062321128,hamidah.matsih@mtdgroup.com.my,www.mtdgroup.com,"6525-14,",SIAP DENGAN: CCC PENUH,6525-14/32/2010(01),06 Jan 2009,05 Jan 2010,"RM 135,000.00",0.00mps,RUMAH BERKEMBAR,1,0,0,0,46,46,"255,000.00","400,500.00",95.00,,,https://teduh.kpkt.gov.my/project-swasta/6525-14,"(1, '6525-14')"
4,"6 5 2 5 - 1 5 - T A M A N   T A S I K   U T A M A ,   A Y E R   K E R O H ,   M E L A K A   ( 1 8 A )",METACORP PROPERTIES SDN. BHD.,6525,6525/12-2027/0536(A),20 Dec 2022,19 Dec 2027,062321128,hamidah.matsih@mtdgroup.com.my,www.mtdgroup.com,"6525-15,",SIAP DENGAN: CCC PENUH,6525-15/999/2010(05),21 May 2009,20 May 2010,"RM 148,500.00",0.00mps,RUMAH TERES,1,0,0,0,76,76,"148,500.00","220,500.00",95.00,,,https://teduh.kpkt.gov.my/project-swasta/6525-15,"(2, '6525-15')"
5,6 5 2 5 - 1 6 - T A M A N   T A S I K   U T A M A,METACORP PROPERTIES SDN. BHD.,6525,6525/12-2027/0536(A),20 Dec 2022,19 Dec 2027,062321128,hamidah.matsih@mtdgroup.com.my,www.mtdgroup.com,"6525-16,",SIAP DENGAN: CCC PENUH,6525-16/11-2019/03166(P),28 Nov 2018,27 Nov 2019,"RM 107,000.00",0.00mps - 126.00mps,RUMAH TERES,1,0,0,126,45,31,"260,000.00","447,000.00",100.00,"[""2.270212, 102.279008""]",,https://teduh.kpkt.gov.my/project-swasta/6525-16,"(3, '6525-16')"
6,6 5 2 5 - 1 6 - T A M A N   T A S I K   U T A M A,METACORP PROPERTIES SDN. BHD.,6525,6525/12-2027/0536(A),20 Dec 2022,19 Dec 2027,062321128,hamidah.matsih@mtdgroup.com.my,www.mtdgroup.com,"6525-16,",SIAP DENGAN: CCC PENUH,6525-16/11-2019/03166(P),28 Nov 2018,27 Nov 2019,"RM 107,000.00",0.00mps - 126.00mps,RUMAH TERES,2,0,0,126,48,46,"300,000.00","480,000.00",100.00,"[""2.270212, 102.279008""]",,https://teduh.kpkt.gov.my/project-swasta/6525-16,"(3, '6525-16')"
7,6 5 2 5 - 1 6 - T A M A N   T A S I K   U T A M A,METACORP PROPERTIES SDN. BHD.,6525,6525/12-2027/0536(A),20 Dec 2022,19 Dec 2027,062321128,hamidah.matsih@mtdgroup.com.my,www.mtdgroup.com,"6525-16,",SIAP DENGAN: CCC PENUH,6525-16/11-2019/03166(P),28 Nov 2018,27 Nov 2019,"RM 107,000.00",0.00mps - 126.00mps,RUMAH TERES,1,0,0,120,48,45,"260,000.00","387,000.00",100.00,"[""2.270212, 102.279008""]",,https://teduh.kpkt.gov.my/project-swasta/6525-16,"(3, '6525-16')"
8,6 5 2 5 - 1 6 - T A M A N   T A S I K   U T A M A,METACORP PROPERTIES SDN. BHD.,6525,6525/12-2027/0536(A),20 Dec 2022,19 Dec 2027,062321128,hamidah.matsih@mtdgroup.com.my,www.mtdgroup.com,"6525-16,",SIAP DENGAN: CCC PENUH,6525-16/11-2019/03166(P),28 Nov 2018,27 Nov 2019,"RM 107,000.00",0.00mps - 126.00mps,RUMAH PANGSA/KONDO,5,0,0,0,200,31,"107,000.00","139,000.00",100.00,"[""2.270212, 102.279008""]",,https://teduh.kpkt.gov.my/project-swasta/6525-16,"(3, '6525-16')"
9,6 5 2 5 - 1 7 - T A M A N   T A S I K   U T A M A,METACORP PROPERTIES SDN. BHD.,6525,6525/12-2027/0536(A),20 Dec 2022,19 Dec 2027,062321128,hamidah.matsih@mtdgroup.com.my,www.mtdgroup.com,"6525-17,",PERMIT TELAH DIBATALKAN,-,-,-,"RM 480,000.00",0.00mps,RUMAH BERKEMBAR,2,0,0,0,54,54,"480,000.00","980,000.00",0.00,"[""2.281303, 102.285227""]",,https://teduh.kpkt.gov.my/project-swasta/6525-17,"(4, '6525-17')"
