,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location
0,1 3 1 9 8 - 1 - T A M A N   I N T A N   6,EMPAYAR DUTA SDN. BHD.,13198,13198-1/09-2015/0635(L),26 Sep 2013,25 Sep 2015,-,-,-,"13198-1,",SIAP DENGAN: CFO PENUH,13198-1/09-2015/0635(P),26 Sep 2013,25 Sep 2015,"RM 259,000.00",153.00mps - 185.00mps,RUMAH BERKEMBAR,1,0,0,153,16,0,"259,000.00","319,000.00",100.00,"[""2.493500, 102.184000""]",,https://teduh.kpkt.gov.my/project-swasta/13198-1,"(250, '13198-1')"
1,1 3 1 9 8 - 1 - T A M A N   I N T A N   6,EMPAYAR DUTA SDN. BHD.,13198,13198-1/09-2015/0635(L),26 Sep 2013,25 Sep 2015,-,-,-,"13198-1,",SIAP DENGAN: CFO PENUH,13198-1/09-2015/0635(P),26 Sep 2013,25 Sep 2015,"RM 259,000.00",153.00mps - 185.00mps,RUMAH SESEBUAH,1,0,0,185,3,1,"339,000.00","399,000.00",100.00,"[""2.493500, 102.184000""]",,https://teduh.kpkt.gov.my/project-swasta/13198-1,"(250, '13198-1')"
2,1 3 2 1 2 - 1 - I M P I A N A   V I L L A,AGROTAGE SDN. BHD.,13212,13212/03-2025/0029(R),04 Mar 2022,15 Mar 2025,-,-,-,"13212-1,",SIAP DENGAN: CCC PENUH,13212-1/06-2017/02005(P),07 Jun 2016,06 Jun 2017,"RM 478,800.00",203.00mps - 270.00mps,RUMAH BERKEMBAR,1,0,0,203,24,0,"478,800.00","638,800.00",100.00,"[""2.799500, 101.784000""]",,https://teduh.kpkt.gov.my/project-swasta/13212-1,"(251, '13212-1')"
3,1 3 2 1 2 - 1 - I M P I A N A   V I L L A,AGROTAGE SDN. BHD.,13212,13212/03-2025/0029(R),04 Mar 2022,15 Mar 2025,-,-,-,"13212-1,",SIAP DENGAN: CCC PENUH,13212-1/06-2017/02005(P),07 Jun 2016,06 Jun 2017,"RM 478,800.00",203.00mps - 270.00mps,RUMAH SESEBUAH,1,0,0,270,5,0,"671,800.00","748,800.00",100.00,"[""2.799500, 101.784000""]",,https://teduh.kpkt.gov.my/project-swasta/13212-1,"(251, '13212-1')"
4,1 3 2 1 2 - 2 - W A R I S A N   V I L L A,AGROTAGE SDN. BHD.,13212,13212/03-2025/0029(R),04 Mar 2022,15 Mar 2025,-,-,-,"13212-2,",SIAP DENGAN: CCC PENUH,13212-2/03-2022/01545(P),16 Mar 2021,15 Mar 2022,"RM 486,800.00",130.00mps - 139.00mps,RUMAH TERES,2,0,0,130,25,5,"486,800.00","796,740.00",100.00,"[""2.801269, 101.773551""]",,https://teduh.kpkt.gov.my/project-swasta/13212-2,"(252, '13212-2')"
5,1 3 2 1 2 - 2 - W A R I S A N   V I L L A,AGROTAGE SDN. BHD.,13212,13212/03-2025/0029(R),04 Mar 2022,15 Mar 2025,-,-,-,"13212-2,",SIAP DENGAN: CCC PENUH,13212-2/03-2022/01545(P),16 Mar 2021,15 Mar 2022,"RM 486,800.00",130.00mps - 139.00mps,RUMAH TERES,2,0,0,139,21,4,"498,800.00","835,590.00",100.00,"[""2.801269, 101.773551""]",,https://teduh.kpkt.gov.my/project-swasta/13212-2,"(252, '13212-2')"
6,1 3 2 3 8 - 1 - R I M B A   R E S I D E N S I,RIMBA MULIA DEVELOPMENT SDN. BHD.,13238,13238/10-2026/1518(R),31 Oct 2017,30 Oct 2026,-,rmm@rimbamulia.com.my,-,"13238-1,",SIAP DENGAN: CCC PENUH,13238-1/10-2017/02850(P),31 Oct 2016,30 Oct 2017,"RM 480,000.00",244.00mps - 315.55mps,RUMAH SESEBUAH,4,0,0,316,8,4,"1,688,000.00","2,325,600.00",100.00,"[""2.412410, 101.524340""]",,https://teduh.kpkt.gov.my/project-swasta/13238-1,"(253, '13238-1')"
7,1 3 2 3 8 - 1 - R I M B A   R E S I D E N S I,RIMBA MULIA DEVELOPMENT SDN. BHD.,13238,13238/10-2026/1518(R),31 Oct 2017,30 Oct 2026,-,rmm@rimbamulia.com.my,-,"13238-1,",SIAP DENGAN: CCC PENUH,13238-1/10-2017/02850(P),31 Oct 2016,30 Oct 2017,"RM 480,000.00",244.00mps - 315.55mps,RUMAH TERES,3,0,0,244,91,43,"480,000.00","885,600.00",100.00,"[""2.412410, 101.524340""]",,https://teduh.kpkt.gov.my/project-swasta/13238-1,"(253, '13238-1')"
8,1 3 2 5 1 - 1 - M E S A   H I L L,HARI LUMAYAN SDN. BHD.,13251,13251/02-2026/0260(R),24 Feb 2023,23 Feb 2026,-,greentargetholdings@gmail.com,-,"13251-1,",SIAP DENGAN: CCC PENUH,13251-1/01-2017/01253(P),26 Jan 2016,25 Jan 2017,"RM 134,750.00",350.00mps,PANGSAPURI SERVIS,22,0,0,350,527,13,"134,750.00","513,700.00",100.00,"[""2.823135, 101.775765""]",,https://teduh.kpkt.gov.my/project-swasta/13251-1,"(254, '13251-1')"
9,1 3 2 5 1 - 2 - M E S A   H I L L,HARI LUMAYAN SDN. BHD.,13251,13251/02-2026/0260(R),24 Feb 2023,23 Feb 2026,-,greentargetholdings@gmail.com,-,"13251-2,",SIAP DENGAN: CCC PENUH,13251-2/05-2017/01789(P),05 May 2016,04 May 2017,"RM 162,778.00",350.00mps,RUMAH PANGSA/KONDO,22,0,0,350,544,7,"162,778.00","494,000.00",100.00,"[""2.823135, 101.775765""]",,https://teduh.kpkt.gov.my/project-swasta/13251-2,"(255, '13251-2')"
10,1 3 2 5 1 - 3 - M E S A   H I L L,HARI LUMAYAN SDN. BHD.,13251,13251/02-2026/0260(R),24 Feb 2023,23 Feb 2026,-,greentargetholdings@gmail.com,-,"13251-3,",SIAP DENGAN: CCC PENUH,13251-3/06-2018/01571(P),07 Jun 2017,06 Jun 2018,"RM 308,360.00",41.80mps - 99.87mps,PANGSAPURI SERVIS,37,0,0,100,60,31,"654,971.00","709,704.00",100.00,"[""2.823135, 101.775765""]",,https://teduh.kpkt.gov.my/project-swasta/13251-3,"(256, '13251-3')"
11,1 3 2 5 1 - 3 - M E S A   H I L L,HARI LUMAYAN SDN. BHD.,13251,13251/02-2026/0260(R),24 Feb 2023,23 Feb 2026,-,greentargetholdings@gmail.com,-,"13251-3,",SIAP DENGAN: CCC PENUH,13251-3/06-2018/01571(P),07 Jun 2017,06 Jun 2018,"RM 308,360.00",41.80mps - 99.87mps,PANGSAPURI SERVIS,37,0,0,43,120,0,"331,080.00","368,963.00",100.00,"[""2.823135, 101.775765""]",,https://teduh.kpkt.gov.my/project-swasta/13251-3,"(256, '13251-3')"
12,1 3 2 5 1 - 3 - M E S A   H I L L,HARI LUMAYAN SDN. BHD.,13251,13251/02-2026/0260(R),24 Feb 2023,23 Feb 2026,-,greentargetholdings@gmail.com,-,"13251-3,",SIAP DENGAN: CCC PENUH,13251-3/06-2018/01571(P),07 Jun 2017,06 Jun 2018,"RM 308,360.00",41.80mps - 99.87mps,PANGSAPURI SERVIS,37,0,0,67,266,195,"482,006.00","525,545.00",100.00,"[""2.823135, 101.775765""]",,https://teduh.kpkt.gov.my/project-swasta/13251-3,"(256, '13251-3')"
13,1 3 2 5 1 - 3 - M E S A   H I L L,HARI LUMAYAN SDN. BHD.,13251,13251/02-2026/0260(R),24 Feb 2023,23 Feb 2026,-,greentargetholdings@gmail.com,-,"13251-3,",SIAP DENGAN: CCC PENUH,13251-3/06-2018/01571(P),07 Jun 2017,06 Jun 2018,"RM 308,360.00",41.80mps - 99.87mps,PANGSAPURI SERVIS,22,0,0,66,176,0,"452,702.00","468,130.00",100.00,"[""2.823135, 101.775765""]",,https://teduh.kpkt.gov.my/project-swasta/13251-3,"(256, '13251-3')"
