,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location
0,1 1 4 3 8 - 1 - T A M A N   P E R M A I,SINARAN DEVELOPMENT SDN. BHD.,11438,11438-5/06-2018/0499(L),01 Jul 2016,30 Jun 2018,-,leefs1388@hotmail.com,-,"11438-1,",SIAP DENGAN: CCC PENUH,11438-1/225/2012(01),28 Jan 2011,27 Jan 2012,"RM 195,000.00",0.00mps,RUMAH SESEBUAH,1,0,0,0,13,13,"239,000.00","269,000.00",95.00,,,https://teduh.kpkt.gov.my/project-swasta/11438-1,"(250, '11438-1')"
1,1 1 4 3 8 - 1 - T A M A N   P E R M A I,SINARAN DEVELOPMENT SDN. BHD.,11438,11438-5/06-2018/0499(L),01 Jul 2016,30 Jun 2018,-,leefs1388@hotmail.com,-,"11438-1,",SIAP DENGAN: CCC PENUH,11438-1/225/2012(01),28 Jan 2011,27 Jan 2012,"RM 195,000.00",0.00mps,RUMAH BERKEMBAR,1,0,0,0,16,16,"195,000.00","220,000.00",95.00,,,https://teduh.kpkt.gov.my/project-swasta/11438-1,"(250, '11438-1')"
2,1 1 4 3 8 - 2 - T A M A N   S I N A R A N   C H E N O R,SINARAN DEVELOPMENT SDN. BHD.,11438,11438-5/06-2018/0499(L),01 Jul 2016,30 Jun 2018,-,leefs1388@hotmail.com,-,"11438-2,",SIAP DENGAN: CCC PENUH,-,-,-,"RM 245,000.00","1,200.00mps - 1,380.00mps",RUMAH SESEBUAH,1,0,0,"1,380",1,0,"350,000.00","350,000.00",100.00,,,https://teduh.kpkt.gov.my/project-swasta/11438-2,"(251, '11438-2')"
3,1 1 4 3 8 - 2 - T A M A N   S I N A R A N   C H E N O R,SINARAN DEVELOPMENT SDN. BHD.,11438,11438-5/06-2018/0499(L),01 Jul 2016,30 Jun 2018,-,leefs1388@hotmail.com,-,"11438-2,",SIAP DENGAN: CCC PENUH,-,-,-,"RM 245,000.00","1,200.00mps - 1,380.00mps",RUMAH BERKEMBAR,1,0,0,"1,200",46,9,"245,000.00","350,000.00",100.00,,,https://teduh.kpkt.gov.my/project-swasta/11438-2,"(251, '11438-2')"
4,1 1 4 3 8 - 3 - T A M A N   B U K I T   K E L U L U T,SINARAN DEVELOPMENT SDN. BHD.,11438,11438-5/06-2018/0499(L),01 Jul 2016,30 Jun 2018,-,leefs1388@hotmail.com,-,"11438-3,",SIAP DENGAN: CCC PENUH,11438-3/07-2015/0334(P),17 Jul 2013,16 Jul 2015,"RM 251,000.00",112.00mps - 128.00mps,RUMAH SESEBUAH,1,0,0,128,2,1,"468,000.00","468,000.00",100.00,,,https://teduh.kpkt.gov.my/project-swasta/11438-3,"(252, '11438-3')"
5,1 1 4 3 8 - 3 - T A M A N   B U K I T   K E L U L U T,SINARAN DEVELOPMENT SDN. BHD.,11438,11438-5/06-2018/0499(L),01 Jul 2016,30 Jun 2018,-,leefs1388@hotmail.com,-,"11438-3,",SIAP DENGAN: CCC PENUH,11438-3/07-2015/0334(P),17 Jul 2013,16 Jul 2015,"RM 251,000.00",112.00mps - 128.00mps,RUMAH BERKEMBAR,1,0,0,112,14,1,"251,000.00","299,340.00",100.00,,,https://teduh.kpkt.gov.my/project-swasta/11438-3,"(252, '11438-3')"
6,1 1 4 3 8 - 4 - T A M A N   B U K I T   K E L U L U T,SINARAN DEVELOPMENT SDN. BHD.,11438,11438-5/06-2018/0499(L),01 Jul 2016,30 Jun 2018,-,leefs1388@hotmail.com,-,"11438-4,",SIAP DENGAN: CCC PENUH,11438-4/02-2017/0154(P),26 Feb 2015,25 Feb 2017,"RM 302,866.88",0.00mps - 112.00mps,RUMAH SESEBUAH,1,0,0,0,3,3,"450,887.40","517,593.15",100.00,"[""3.265201, 102.241450""]",,https://teduh.kpkt.gov.my/project-swasta/11438-4,"(253, '11438-4')"
7,1 1 4 3 8 - 4 - T A M A N   B U K I T   K E L U L U T,SINARAN DEVELOPMENT SDN. BHD.,11438,11438-5/06-2018/0499(L),01 Jul 2016,30 Jun 2018,-,leefs1388@hotmail.com,-,"11438-4,",SIAP DENGAN: CCC PENUH,11438-4/02-2017/0154(P),26 Feb 2015,25 Feb 2017,"RM 302,866.88",0.00mps - 112.00mps,RUMAH BERKEMBAR,1,0,0,112,18,1,"302,866.88","415,925.10",100.00,"[""3.265201, 102.241450""]",,https://teduh.kpkt.gov.my/project-swasta/11438-4,"(253, '11438-4')"
8,1 1 4 3 8 - 5 - T A M A N   B U K I T   K E L U L U T,SINARAN DEVELOPMENT SDN. BHD.,11438,11438-5/06-2018/0499(L),01 Jul 2016,30 Jun 2018,-,leefs1388@hotmail.com,-,"11438-5,",SIAP DENGAN: CCC PENUH,11438-5/06-2018/0499(P),01 Jul 2016,30 Jun 2018,"RM 322,000.00",111.00mps,RUMAH BERKEMBAR,1,0,0,111,16,7,"322,000.00","367,150.00",100.00,"[""3.438704, 102.402100""]",,https://teduh.kpkt.gov.my/project-swasta/11438-5,"(254, '11438-5')"
9,1 1 4 5 7 - 1 - M A L I M M A S   D E V E L O P M E N T   S D N   B H D,MALIMMAS DEVELOPMENT SDN. BHD.,11457,11457/02-2025/0037(R),03 Feb 2022,02 Feb 2025,-,-,BERSATUBHV88@YAHOO.COM,"11457-1,",SIAP DENGAN: CCC PENUH,11457-1/12-2020/03444(P),20 Dec 2019,19 Dec 2020,"RM 538,046.00",0.00mps - 223.00mps,RUMAH BERKEMBAR,2,0,0,223,12,9,"538,046.00","676,492.00",100.00,"[""2.806557, 103.495398""]",,https://teduh.kpkt.gov.my/project-swasta/11457-1,"(255, '11457-1')"
