,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location
0,1 4 6 1 4 - 2 - T A M A N   C H E M O R   S E T I A,BERJAYA QIYAM SDN. BHD.,14614,14614/10-2027/0924(R),06 Oct 2022,05 Oct 2027,-,-,-,"14614-2,",SIAP DENGAN: CCC PENUH,14614-2/11-2021/01023(P),05 Nov 2019,04 Nov 2021,"RM 228,000.00",74.32mps,RUMAH TERES,1,0,0,74,29,0,"228,000.00","328,000.00",100.00,"[""4.433800, 101.070500""]",,https://teduh.kpkt.gov.my/project-swasta/14614-2,"(500, '14614-2')"
1,1 4 6 1 7 - 1 - L U N A R   B A K T I   S D N   B H D,LUNAR BAKTI SDN. BHD.,14617,14617/02-2027/0072(R),17 Feb 2024,16 Feb 2027,-,-,-,"14617-1,",SIAP DENGAN: CCC PENUH,14617-1/01-2019/48(P),24 Jan 2017,23 Jan 2019,"RM 198,880.00",78.00mps,RUMAH TERES,1,0,0,78,4,1,"369,080.00","424,760.00",100.00,"[""4.520057, 101.050602""]",,https://teduh.kpkt.gov.my/project-swasta/14617-1,"(501, '14617-1')"
2,1 4 6 1 7 - 1 - L U N A R   B A K T I   S D N   B H D,LUNAR BAKTI SDN. BHD.,14617,14617/02-2027/0072(R),17 Feb 2024,16 Feb 2027,-,-,-,"14617-1,",SIAP DENGAN: CCC PENUH,14617-1/01-2019/48(P),24 Jan 2017,23 Jan 2019,"RM 198,880.00",78.00mps,RUMAH TERES,1,0,0,78,78,0,"198,880.00","271,840.00",100.00,"[""4.520057, 101.050602""]",,https://teduh.kpkt.gov.my/project-swasta/14617-1,"(501, '14617-1')"
3,1 4 6 1 7 - 2 - P A R K V I E W   S E N T O S A,LUNAR BAKTI SDN. BHD.,14617,14617/02-2027/0072(R),17 Feb 2024,16 Feb 2027,-,-,-,"14617-2,",BERJALAN LANCAR,14617-2/02-2024/0106(A)-(L),17 Feb 2022,16 Feb 2024,"RM 248,880.00",80.00mps - 98.00mps,RUMAH TERES,1,0,0,80,30,0,"248,880.00","248,880.00",71.50,"[""4.520057, 101.050602""]",,https://teduh.kpkt.gov.my/project-swasta/14617-2,"(502, '14617-2')"
4,1 4 6 1 7 - 2 - P A R K V I E W   S E N T O S A,LUNAR BAKTI SDN. BHD.,14617,14617/02-2027/0072(R),17 Feb 2024,16 Feb 2027,-,-,-,"14617-2,",BERJALAN LANCAR,14617-2/02-2024/0106(A)-(L),17 Feb 2022,16 Feb 2024,"RM 248,880.00",80.00mps - 98.00mps,RUMAH TERES,1,0,0,88,2,0,"330,720.00","382,800.00",45.00,"[""4.520057, 101.050602""]",,https://teduh.kpkt.gov.my/project-swasta/14617-2,"(502, '14617-2')"
5,1 4 6 1 7 - 2 - P A R K V I E W   S E N T O S A,LUNAR BAKTI SDN. BHD.,14617,14617/02-2027/0072(R),17 Feb 2024,16 Feb 2027,-,-,-,"14617-2,",BERJALAN LANCAR,14617-2/02-2024/0106(A)-(L),17 Feb 2022,16 Feb 2024,"RM 248,880.00",80.00mps - 98.00mps,RUMAH TERES,1,0,0,89 - 98,46,1,"268,880.00","273,880.00",68.26,"[""4.520057, 101.050602""]",,https://teduh.kpkt.gov.my/project-swasta/14617-2,"(502, '14617-2')"
6,1 4 6 1 7 - 2 - P A R K V I E W   S E N T O S A,LUNAR BAKTI SDN. BHD.,14617,14617/02-2027/0072(R),17 Feb 2024,16 Feb 2027,-,-,-,"14617-2,",BERJALAN LANCAR,14617-2/02-2024/0106(A)-(L),17 Feb 2022,16 Feb 2024,"RM 248,880.00",80.00mps - 98.00mps,RUMAH TERES,1,0,0,98,3,1,"411,400.00","426,480.00",66.67,"[""4.520057, 101.050602""]",,https://teduh.kpkt.gov.my/project-swasta/14617-2,"(502, '14617-2')"
7,1 4 6 1 7 - 2 - P A R K V I E W   S E N T O S A,LUNAR BAKTI SDN. BHD.,14617,14617/02-2027/0072(R),17 Feb 2024,16 Feb 2027,-,-,-,"14617-2,",BERJALAN LANCAR,14617-2/02-2024/0106(A)-(L),17 Feb 2022,16 Feb 2024,"RM 248,880.00",80.00mps - 98.00mps,RUMAH TERES,1,0,0,98,1,1,"337,160.00","337,160.00",5.00,"[""4.520057, 101.050602""]",,https://teduh.kpkt.gov.my/project-swasta/14617-2,"(502, '14617-2')"
8,1 4 6 4 8 - 1 - T A M A N   K U R A U   P E R M A I,KY MAJU DEVELOPMENT SDN. BHD.,14648,14648/04-2028/0610(A),13 Apr 2023,12 Apr 2028,-,-,-,"14648-1,",SIAP DENGAN: CCC PENUH,14648-1/02-2019/0121(P),22 Feb 2017,21 Feb 2019,"RM 260,100.00",88.91mps - 90.03mps,RUMAH BERKEMBAR,1,0,0,89,36,10,"260,100.00","393,800.00",100.00,"[""4.982121, 100.804491""]",,https://teduh.kpkt.gov.my/project-swasta/14648-1,"(503, '14648-1')"
9,1 4 6 4 8 - 1 - T A M A N   K U R A U   P E R M A I,KY MAJU DEVELOPMENT SDN. BHD.,14648,14648/04-2028/0610(A),13 Apr 2023,12 Apr 2028,-,-,-,"14648-1,",SIAP DENGAN: CCC PENUH,14648-1/02-2019/0121(P),22 Feb 2017,21 Feb 2019,"RM 260,100.00",88.91mps - 90.03mps,RUMAH BERKEMBAR,1,0,0,90,4,2,"263,700.00","372,900.00",100.00,"[""4.982121, 100.804491""]",,https://teduh.kpkt.gov.my/project-swasta/14648-1,"(503, '14648-1')"
