,Unnamed: 0,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location
0,0,1 0 1 2 - 1 1 - T A M A N   S E J A H T E R A,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15 Feb 2022,14 Feb 2025,-,senghong_99@yahoo.com.my,-,"1012-11,",SIAP DENGAN: CFO PENUH,1012-11/1868/2007(09),13 Sep 2006,12 Sep 2007,"RM 34,900.00",0.00mps,RUMAH BERKEMBAR,1.0,0,0,0,12,12,"115,000.00","130,000.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/1012-11,"(0, '1012-11')"
1,1,1 0 1 2 - 1 1 - T A M A N   S E J A H T E R A,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15 Feb 2022,14 Feb 2025,-,senghong_99@yahoo.com.my,-,"1012-11,",SIAP DENGAN: CFO PENUH,1012-11/1868/2007(09),13 Sep 2006,12 Sep 2007,"RM 34,900.00",0.00mps,RUMAH TERES,1.0,0,0,0,46,46,"92,000.00","113,080.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/1012-11,"(0, '1012-11')"
2,2,1 0 1 2 - 1 1 - T A M A N   S E J A H T E R A,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15 Feb 2022,14 Feb 2025,-,senghong_99@yahoo.com.my,-,"1012-11,",SIAP DENGAN: CFO PENUH,1012-11/1868/2007(09),13 Sep 2006,12 Sep 2007,"RM 34,900.00",0.00mps,RUMAH TERES,1.0,0,0,0,30,30,"34,900.00","47,000.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/1012-11,"(0, '1012-11')"
3,3,1 0 1 2 - 1 4 - T A M A N   U T A R A   J A Y A   J E J A W I,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15 Feb 2022,14 Feb 2025,-,senghong_99@yahoo.com.my,-,"1012-14,",BERJALAN LANCAR,1012-14/12-2016/02759(P),25 Dec 2015,24 Dec 2016,"RM 198,000.00",0.00mps,RUMAH BERKEMBAR,2.0,0,0,0,8,8,"398,000.00","489,750.00",35.0,"[""6.445515, 100.200231""]",,https://teduh.kpkt.gov.my/project-swasta/1012-14,"(146, '1012-14')"
4,4,1 0 1 2 - 1 4 - T A M A N   U T A R A   J A Y A   J E J A W I,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15 Feb 2022,14 Feb 2025,-,senghong_99@yahoo.com.my,-,"1012-14,",BERJALAN LANCAR,1012-14/12-2016/02759(P),25 Dec 2015,24 Dec 2016,"RM 198,000.00",0.00mps,RUMAH SESEBUAH,1.0,0,0,0,1,1,"418,000.00","418,000.00",20.0,"[""6.445515, 100.200231""]",,https://teduh.kpkt.gov.my/project-swasta/1012-14,"(146, '1012-14')"
5,5,1 0 1 2 - 1 4 - T A M A N   U T A R A   J A Y A   J E J A W I,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15 Feb 2022,14 Feb 2025,-,senghong_99@yahoo.com.my,-,"1012-14,",BERJALAN LANCAR,1012-14/12-2016/02759(P),25 Dec 2015,24 Dec 2016,"RM 198,000.00",0.00mps,RUMAH TERES,1.0,0,0,0,18,18,"198,000.00","248,320.00",35.0,"[""6.445515, 100.200231""]",,https://teduh.kpkt.gov.my/project-swasta/1012-14,"(146, '1012-14')"
6,6,1 0 1 2 - 1 4 - T A M A N   U T A R A   J A Y A   J E J A W I,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15 Feb 2022,14 Feb 2025,-,senghong_99@yahoo.com.my,-,"1012-14,",BERJALAN LANCAR,1012-14/12-2016/02759(P),25 Dec 2015,24 Dec 2016,"RM 198,000.00",0.00mps,RUMAH BERKEMBAR,1.0,0,0,0,28,28,"294,400.00","346,700.00",35.0,"[""6.445515, 100.200231""]",,https://teduh.kpkt.gov.my/project-swasta/1012-14,"(146, '1012-14')"
7,7,1 0 1 2 - 1 5 - T A M A N   K E C H O R   I M P I A N,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15 Feb 2022,14 Feb 2025,-,senghong_99@yahoo.com.my,-,"1012-15,",SIAP DENGAN: CCC PENUH,1012-15/07-2021/02648(P),15 Jul 2020,14 Jul 2021,"RM 280,448.00",268.22mps - 292.60mps,RUMAH BERKEMBAR,1.0,0,0,268,10,1,"298,000.00","340,760.00",100.0,"[""6.444900, 100.204800""]",,https://teduh.kpkt.gov.my/project-swasta/1012-15,"(1, '1012-15')"
8,8,1 0 1 2 - 1 5 - T A M A N   K E C H O R   I M P I A N,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15 Feb 2022,14 Feb 2025,-,senghong_99@yahoo.com.my,-,"1012-15,",SIAP DENGAN: CCC PENUH,1012-15/07-2021/02648(P),15 Jul 2020,14 Jul 2021,"RM 280,448.00",268.22mps - 292.60mps,RUMAH SESEBUAH,1.0,0,0,293,3,0,"450,000.00","499,280.00",100.0,"[""6.444900, 100.204800""]",,https://teduh.kpkt.gov.my/project-swasta/1012-15,"(1, '1012-15')"
9,9,1 0 1 2 - 1 5 - T A M A N   K E C H O R   I M P I A N,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15 Feb 2022,14 Feb 2025,-,senghong_99@yahoo.com.my,-,"1012-15,",SIAP DENGAN: CCC PENUH,1012-15/07-2021/02648(P),15 Jul 2020,14 Jul 2021,"RM 280,448.00",268.22mps - 292.60mps,RUMAH BERKEMBAR,1.0,0,0,268,2,0,"280,448.00","292,208.00",100.0,"[""6.444900, 100.204800""]",,https://teduh.kpkt.gov.my/project-swasta/1012-15,"(1, '1012-15')"
10,10,1 0 4 8 8 - 2 - T A M A N   P A U H   I N D A H,VISTA MULIA DEVELOPMENT SDN. BHD.,10488,10488/02-2026/0581(A),27 Feb 2023,26 Feb 2026,049764373,vistamulia88@yahoo.com,-,"10488-2,",SIAP DENGAN: CCC PENUH,10488-2/02-2015/01391(P),25 Feb 2014,24 Feb 2015,"RM 42,000.00",0.00mps - 130.00mps,RUMAH TERES,1.0,0,0,86,17,-1,"199,800.00","278,450.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/10488-2,"(2, '10488-2')"
11,11,1 0 4 8 8 - 2 - T A M A N   P A U H   I N D A H,VISTA MULIA DEVELOPMENT SDN. BHD.,10488,10488/02-2026/0581(A),27 Feb 2023,26 Feb 2026,049764373,vistamulia88@yahoo.com,-,"10488-2,",SIAP DENGAN: CCC PENUH,10488-2/02-2015/01391(P),25 Feb 2014,24 Feb 2015,"RM 42,000.00",0.00mps - 130.00mps,RUMAH TERES,1.0,0,0,0,24,24,"42,000.00","114,600.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/10488-2,"(2, '10488-2')"
12,12,1 0 4 8 8 - 2 - T A M A N   P A U H   I N D A H,VISTA MULIA DEVELOPMENT SDN. BHD.,10488,10488/02-2026/0581(A),27 Feb 2023,26 Feb 2026,049764373,vistamulia88@yahoo.com,-,"10488-2,",SIAP DENGAN: CCC PENUH,10488-2/02-2015/01391(P),25 Feb 2014,24 Feb 2015,"RM 42,000.00",0.00mps - 130.00mps,RUMAH KEDAI (G),2.0,0,0,130,13,4,"468,000.00","559,440.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/10488-2,"(2, '10488-2')"
13,13,1 0 4 8 8 - 2 - T A M A N   P A U H   I N D A H,VISTA MULIA DEVELOPMENT SDN. BHD.,10488,10488/02-2026/0581(A),27 Feb 2023,26 Feb 2026,049764373,vistamulia88@yahoo.com,-,"10488-2,",SIAP DENGAN: CCC PENUH,10488-2/02-2015/01391(P),25 Feb 2014,24 Feb 2015,"RM 42,000.00",0.00mps - 130.00mps,RUMAH BERKEMBAR,1.0,0,0,89,24,2,"290,300.00","335,900.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/10488-2,"(2, '10488-2')"
14,14,1 0 4 8 8 - 2 - T A M A N   P A U H   I N D A H,VISTA MULIA DEVELOPMENT SDN. BHD.,10488,10488/02-2026/0581(A),27 Feb 2023,26 Feb 2026,049764373,vistamulia88@yahoo.com,-,"10488-2,",SIAP DENGAN: CCC PENUH,10488-2/02-2015/01391(P),25 Feb 2014,24 Feb 2015,"RM 42,000.00",0.00mps - 130.00mps,RUMAH BERKEMBAR,2.0,0,0,86,8,0,"388,800.00","439,150.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/10488-2,"(2, '10488-2')"
15,15,1 0 4 8 8 - 3 - T A M A N   S E L A S I H,VISTA MULIA DEVELOPMENT SDN. BHD.,10488,10488/02-2026/0581(A),27 Feb 2023,26 Feb 2026,049764373,vistamulia88@yahoo.com,-,"10488-3,",SIAP DENGAN: CCC PENUH,10488-3/06-2015/01907(P),18 Jun 2014,17 Jun 2015,"RM 268,000.00",0.00mps - 234.10mps,RUMAH BERKEMBAR,1.0,0,0,234,18,11,"268,000.00","334,720.00",100.0,"[""6.476539, 100.258854""]",,https://teduh.kpkt.gov.my/project-swasta/10488-3,"(3, '10488-3')"
16,16,1 0 4 8 8 - 3 - T A M A N   S E L A S I H,VISTA MULIA DEVELOPMENT SDN. BHD.,10488,10488/02-2026/0581(A),27 Feb 2023,26 Feb 2026,049764373,vistamulia88@yahoo.com,-,"10488-3,",SIAP DENGAN: CCC PENUH,10488-3/06-2015/01907(P),18 Jun 2014,17 Jun 2015,"RM 268,000.00",0.00mps - 234.10mps,RUMAH SESEBUAH,1.0,0,0,0,1,1,"368,000.00","368,000.00",100.0,"[""6.476539, 100.258854""]",,https://teduh.kpkt.gov.my/project-swasta/10488-3,"(3, '10488-3')"
17,17,1 0 4 8 8 - 5 - T A M A N   E N Y U M   I N D A H,VISTA MULIA DEVELOPMENT SDN. BHD.,10488,10488/02-2026/0581(A),27 Feb 2023,26 Feb 2026,049764373,vistamulia88@yahoo.com,-,"10488-5,",SIAP DENGAN: CCC PENUH,10488-5/08-2017/0708(P),08 Aug 2015,07 Aug 2017,"RM 228,000.00",0.00mps - 95.80mps,RUMAH TERES,1.0,0,0,96,7,3,"228,000.00","308,000.00",100.0,"[""6.453499, 100.269763""]",,https://teduh.kpkt.gov.my/project-swasta/10488-5,"(4, '10488-5')"
18,18,1 0 4 8 8 - 5 - T A M A N   E N Y U M   I N D A H,VISTA MULIA DEVELOPMENT SDN. BHD.,10488,10488/02-2026/0581(A),27 Feb 2023,26 Feb 2026,049764373,vistamulia88@yahoo.com,-,"10488-5,",SIAP DENGAN: CCC PENUH,10488-5/08-2017/0708(P),08 Aug 2015,07 Aug 2017,"RM 228,000.00",0.00mps - 95.80mps,RUMAH SESEBUAH,1.0,0,0,0,2,0,"398,000.00","398,000.00",100.0,"[""6.453499, 100.269763""]",,https://teduh.kpkt.gov.my/project-swasta/10488-5,"(4, '10488-5')"
