,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location
0,4 2 5 8 - 4 - O N E   P E R M A I,TAMAN SRI SETIA SDN. BHD.,4258,4258-7/02-2017/01273(L),21 Feb 2016,20 Feb 2017,-,-,-,"4258-4,",SIAP DENGAN: CFO PENUH,4258-4/1283/2010(07),13 Aug 2009,29 Jul 2010,"RM 1,262,060.00",0.00mps,RUMAH TERES,3,0,0,0,52,52,"1,262,060.00","1,644,280.00",95.00,,,https://teduh.kpkt.gov.my/project-swasta/4258-4,"(500, '4258-4')"
1,4 2 5 8 - 5 - 2   P E R M A I,TAMAN SRI SETIA SDN. BHD.,4258,4258-7/02-2017/01273(L),21 Feb 2016,20 Feb 2017,-,-,-,"4258-5,",SIAP DENGAN: CFO PENUH,4258-5/2262/2012(11),23 Nov 2011,22 Nov 2012,"RM 1,828,000.00",0.00mps,RUMAH TERES,3,0,0,0,42,42,"1,828,000.02","2,337,400.02",84.31,,,https://teduh.kpkt.gov.my/project-swasta/4258-5,"(501, '4258-5')"
2,4 2 5 8 - 5 - 2   P E R M A I,TAMAN SRI SETIA SDN. BHD.,4258,4258-7/02-2017/01273(L),21 Feb 2016,20 Feb 2017,-,-,-,"4258-5,",SIAP DENGAN: CFO PENUH,4258-5/2262/2012(11),23 Nov 2011,22 Nov 2012,"RM 1,828,000.00",0.00mps,RUMAH TERES,3,0,0,0,70,70,"1,828,000.01","2,337,400.01",95.00,,,https://teduh.kpkt.gov.my/project-swasta/4258-5,"(501, '4258-5')"
3,4 2 5 8 - 5 - 2   P E R M A I,TAMAN SRI SETIA SDN. BHD.,4258,4258-7/02-2017/01273(L),21 Feb 2016,20 Feb 2017,-,-,-,"4258-5,",SIAP DENGAN: CFO PENUH,4258-5/2262/2012(11),23 Nov 2011,22 Nov 2012,"RM 1,828,000.00",0.00mps,RUMAH TERES,3,0,0,0,72,72,"1,828,000.00","2,337,400.00",100.00,,,https://teduh.kpkt.gov.my/project-swasta/4258-5,"(501, '4258-5')"
4,4 2 5 8 - 6 - P E R M A I   G A R D E N S,TAMAN SRI SETIA SDN. BHD.,4258,4258-7/02-2017/01273(L),21 Feb 2016,20 Feb 2017,-,-,-,"4258-6,",SIAP DENGAN: CFO PENUH,4258-6/1468/2012(07),12 Jul 2011,11 Jul 2012,"RM 2,038,000.00",0.00mps,RUMAH SESEBUAH,3,0,0,0,31,11,"4,688,000.00","6,244,000.00",100.00,,,https://teduh.kpkt.gov.my/project-swasta/4258-6,"(502, '4258-6')"
5,4 2 5 8 - 6 - P E R M A I   G A R D E N S,TAMAN SRI SETIA SDN. BHD.,4258,4258-7/02-2017/01273(L),21 Feb 2016,20 Feb 2017,-,-,-,"4258-6,",SIAP DENGAN: CFO PENUH,4258-6/1468/2012(07),12 Jul 2011,11 Jul 2012,"RM 2,038,000.00",0.00mps,RUMAH TERES,3,0,0,0,132,37,"2,038,000.00","3,113,000.00",100.00,,,https://teduh.kpkt.gov.my/project-swasta/4258-6,"(502, '4258-6')"
6,4 2 5 8 - 7 - M I R A   R E S I D E N C E,TAMAN SRI SETIA SDN. BHD.,4258,4258-7/02-2017/01273(L),21 Feb 2016,20 Feb 2017,-,-,-,"4258-7,",SIAP DENGAN: CCC PENUH,4258-7/02-2017/01273(P),21 Feb 2016,20 Feb 2017,"RM 749,000.00",125.50mps,RUMAH PANGSA/KONDO,32,0,0,126,347,116,"749,000.00","3,280,000.00",100.00,"[""5.456132, 100.286068""]",,https://teduh.kpkt.gov.my/project-swasta/4258-7,"(503, '4258-7')"
7,4 4 1 8 - 5 - M A S M E Y E R   S D N   B H D,MASMEYER SDN. BHD.,4418,4418-5/04-2015/346,05 Apr 2010,04 Apr 2015,04-2273378,MASMEYER356@GMAIL.COM,-,"4418-5,",SIAP DENGAN: CCC PENUH,4418-5/999/2013(04),27 Apr 2012,26 Apr 2013,"RM 858,000.00",0.00mps,RUMAH TERES,3,0,0,0,8,8,"860,000.00","878,000.00",100.00,,,https://teduh.kpkt.gov.my/project-swasta/4418-5,"(504, '4418-5')"
8,4 4 1 8 - 5 - M A S M E Y E R   S D N   B H D,MASMEYER SDN. BHD.,4418,4418-5/04-2015/346,05 Apr 2010,04 Apr 2015,04-2273378,MASMEYER356@GMAIL.COM,-,"4418-5,",SIAP DENGAN: CCC PENUH,4418-5/999/2013(04),27 Apr 2012,26 Apr 2013,"RM 858,000.00",0.00mps,RUMAH TERES,3,0,0,0,12,12,"858,000.00","1,181,000.00",100.00,,,https://teduh.kpkt.gov.my/project-swasta/4418-5,"(504, '4418-5')"
9,4 7 0 8 - 1 5 - B A N D A R   P E R D A,ASEANIA DEVELOPMENT SDN. BHD.,4708,4708-17/10-2017/02731(L),17 Oct 2016,16 Oct 2017,-,liza.jaafar@gbec.my,-,"4708-15,",SIAP DENGAN: CFO PENUH,4708-15/517/2008(03),12 Mar 2007,11 Mar 2008,"RM 169,000.00",0.00mps,RUMAH TERES,2,0,0,0,22,22,"186,000.04","255,000.00",100.00,,,https://teduh.kpkt.gov.my/project-swasta/4708-15,"(505, '4708-15')"
