,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location
0,3 9 2 7 - 1 3 3 - C A S I R A   2   ( R 1 0 B ),SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-133,",SIAP DENGAN: CCC PENUH,3927-133/07-2019/0454(P),05 Jul 2017,04 Jul 2019,"RM 915,888.00",0.00mps,RUMAH TERES,2,0,0,0,83,83,"915,888.00","951,888.00",100.00,"[""3.086950, 101.413535""]",,https://teduh.kpkt.gov.my/project-swasta/3927-133,"(0, '3927-133')"
1,3 9 2 7 - 1 3 3 - C A S I R A   2   ( R 1 0 B ),SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-133,",SIAP DENGAN: CCC PENUH,3927-133/07-2019/0454(P),05 Jul 2017,04 Jul 2019,"RM 915,888.00",0.00mps,RUMAH TERES,2,0,0,0,20,20,"1,113,888.00","1,277,888.00",100.00,"[""3.086950, 101.413535""]",,https://teduh.kpkt.gov.my/project-swasta/3927-133,"(0, '3927-133')"
2,3 9 2 7 - 1 3 3 - C A S I R A   2   ( R 1 0 B ),SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-133,",SIAP DENGAN: CCC PENUH,3927-133/07-2019/0454(P),05 Jul 2017,04 Jul 2019,"RM 915,888.00",0.00mps,RUMAH TERES,2,0,0,0,8,8,"1,356,888.00","1,454,888.00",100.00,"[""3.086950, 101.413535""]",,https://teduh.kpkt.gov.my/project-swasta/3927-133,"(0, '3927-133')"
3,3 9 2 7 - 1 3 5 - A Z I R A   ( R 4 ),SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-135,",SIAP DENGAN: CCC PENUH,3927-135/12-2019/01036(P),09 Dec 2017,08 Dec 2019,"RM 815,888.00",177.00mps - 211.00mps,RUMAH TERES,2,0,0,211,2,0,"1,223,888.00","1,230,888.00",100.00,"[""3.086801, 101.432412""]",,https://teduh.kpkt.gov.my/project-swasta/3927-135,"(1, '3927-135')"
4,3 9 2 7 - 1 3 5 - A Z I R A   ( R 4 ),SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-135,",SIAP DENGAN: CCC PENUH,3927-135/12-2019/01036(P),09 Dec 2017,08 Dec 2019,"RM 815,888.00",177.00mps - 211.00mps,RUMAH TERES,2,0,0,211,4,0,"1,175,888.00","1,200,888.00",100.00,"[""3.086801, 101.432412""]",,https://teduh.kpkt.gov.my/project-swasta/3927-135,"(1, '3927-135')"
5,3 9 2 7 - 1 3 5 - A Z I R A   ( R 4 ),SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-135,",SIAP DENGAN: CCC PENUH,3927-135/12-2019/01036(P),09 Dec 2017,08 Dec 2019,"RM 815,888.00",177.00mps - 211.00mps,RUMAH TERES,2,0,0,198,2,0,"1,066,888.00","1,084,888.00",100.00,"[""3.086801, 101.432412""]",,https://teduh.kpkt.gov.my/project-swasta/3927-135,"(1, '3927-135')"
6,3 9 2 7 - 1 3 5 - A Z I R A   ( R 4 ),SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-135,",SIAP DENGAN: CCC PENUH,3927-135/12-2019/01036(P),09 Dec 2017,08 Dec 2019,"RM 815,888.00",177.00mps - 211.00mps,RUMAH TERES,2,0,0,177,68,1,"815,888.00","857,888.00",100.00,"[""3.086801, 101.432412""]",,https://teduh.kpkt.gov.my/project-swasta/3927-135,"(1, '3927-135')"
7,3 9 2 7 - 1 3 5 - A Z I R A   ( R 4 ),SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-135,",SIAP DENGAN: CCC PENUH,3927-135/12-2019/01036(P),09 Dec 2017,08 Dec 2019,"RM 815,888.00",177.00mps - 211.00mps,RUMAH TERES,2,0,0,198,12,0,"1,030,888.00","1,097,888.00",100.00,"[""3.086801, 101.432412""]",,https://teduh.kpkt.gov.my/project-swasta/3927-135,"(1, '3927-135')"
8,3 9 2 7 - 1 3 5 - A Z I R A   ( R 4 ),SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-135,",SIAP DENGAN: CCC PENUH,3927-135/12-2019/01036(P),09 Dec 2017,08 Dec 2019,"RM 815,888.00",177.00mps - 211.00mps,RUMAH TERES,2,0,0,211,8,0,"1,221,888.00","1,270,888.00",100.00,"[""3.086801, 101.432412""]",,https://teduh.kpkt.gov.my/project-swasta/3927-135,"(1, '3927-135')"
9,3 9 2 7 - 1 3 5 - A Z I R A   ( R 4 ),SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-135,",SIAP DENGAN: CCC PENUH,3927-135/12-2019/01036(P),09 Dec 2017,08 Dec 2019,"RM 815,888.00",177.00mps - 211.00mps,RUMAH TERES,2,0,0,177,15,0,"827,888.00","833,888.00",100.00,"[""3.086801, 101.432412""]",,https://teduh.kpkt.gov.my/project-swasta/3927-135,"(1, '3927-135')"
10,3 9 2 7 - 1 3 6 - P H A S E   R 5,SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-136,",SIAP DENGAN: CCC PENUH,3927-136/03-2020/0218(P),02 Mar 2018,01 Mar 2020,"RM 905,888.00",203.50mps - 259.00mps,RUMAH TERES,2,0,0,204,92,0,"905,888.00","941,888.00",100.00,"[""3.542670, 101.253244""]",,https://teduh.kpkt.gov.my/project-swasta/3927-136,"(2, '3927-136')"
11,3 9 2 7 - 1 3 6 - P H A S E   R 5,SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-136,",SIAP DENGAN: CCC PENUH,3927-136/03-2020/0218(P),02 Mar 2018,01 Mar 2020,"RM 905,888.00",203.50mps - 259.00mps,RUMAH TERES,2,0,0,259,10,0,"1,197,888.00","1,394,888.00",100.00,"[""3.542670, 101.253244""]",,https://teduh.kpkt.gov.my/project-swasta/3927-136,"(2, '3927-136')"
12,3 9 2 7 - 1 3 6 - P H A S E   R 5,SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-136,",SIAP DENGAN: CCC PENUH,3927-136/03-2020/0218(P),02 Mar 2018,01 Mar 2020,"RM 905,888.00",203.50mps - 259.00mps,RUMAH TERES,2,0,0,204,30,0,"917,888.00","953,888.00",100.00,"[""3.542670, 101.253244""]",,https://teduh.kpkt.gov.my/project-swasta/3927-136,"(2, '3927-136')"
13,3 9 2 7 - 1 3 6 - P H A S E   R 5,SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-136,",SIAP DENGAN: CCC PENUH,3927-136/03-2020/0218(P),02 Mar 2018,01 Mar 2020,"RM 905,888.00",203.50mps - 259.00mps,RUMAH TERES,2,0,0,259,11,0,"1,371,888.00","1,584,888.00",100.00,"[""3.542670, 101.253244""]",,https://teduh.kpkt.gov.my/project-swasta/3927-136,"(2, '3927-136')"
14,3 9 2 7 - 1 3 6 - P H A S E   R 5,SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-136,",SIAP DENGAN: CCC PENUH,3927-136/03-2020/0218(P),02 Mar 2018,01 Mar 2020,"RM 905,888.00",203.50mps - 259.00mps,RUMAH TERES,2,0,0,259,23,0,"1,221,888.00","1,439,888.00",100.00,"[""3.542670, 101.253244""]",,https://teduh.kpkt.gov.my/project-swasta/3927-136,"(2, '3927-136')"
15,3 9 2 7 - 1 3 7 - P H A S E   R 3 B,SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-137,",SIAP DENGAN: CCC PENUH,3927-137/06-2020/0503(P),02 Jun 2018,01 Jun 2020,"RM 824,888.00",215.40mps,RUMAH TERES,2,0,0,215,120,0,"824,888.00","1,283,888.00",100.00,"[""3.053800, 101.255400""]",,https://teduh.kpkt.gov.my/project-swasta/3927-137,"(3, '3927-137')"
16,3 9 2 7 - 1 3 8 - P H A S E   R 3 A,SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-138,",SIAP DENGAN: CCC PENUH,3927-138/07-2021/02630(P),15 Jul 2020,14 Jul 2021,"RM 824,888.00",215.40mps,RUMAH TERES,2,0,0,215,160,4,"824,888.00","1,283,888.00",100.00,"[""3.053800, 101.254600""]",,https://teduh.kpkt.gov.my/project-swasta/3927-138,"(4, '3927-138')"
17,3 9 2 7 - 1 3 9 - P H A S E   H T 5 T 4 ( I I ),SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-139,",SIAP DENGAN: CCC PENUH,3927-139/02-2023/0313(R)-(S),15 Feb 2022,14 Feb 2023,"RM 1,014,190.24",202.00mps,RUMAH PANGSA/KONDO,6,0,0,202,48,4,"1,014,190.24","1,939,888.00",100.00,"[""3.011521, 101.576856""]",,https://teduh.kpkt.gov.my/project-swasta/3927-139,"(5, '3927-139')"
18,3 9 2 7 - 1 3 9 - P H A S E   H T 5 T 4 ( I I ),SIME DARBY PROPERTY (BUKIT RAJA) SDN. BHD.,3927,3927/03-2024/0194(A),04 Mar 2022,03 Mar 2024,0378495299,nur.nasihan.razak@simedarbyproperty.com,-,"3927-139,",SIAP DENGAN: CCC PENUH,3927-139/02-2023/0313(R)-(S),15 Feb 2022,14 Feb 2023,"RM 1,014,190.24",202.00mps,RUMAH PANGSA/KONDO,6,0,0,202,24,7,"1,294,888.00","1,544,888.00",100.00,"[""3.011521, 101.576856""]",,https://teduh.kpkt.gov.my/project-swasta/3927-139,"(5, '3927-139')"
