,Unnamed: 0,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location,Unnamed: 0.1
0,0,1 0 3 2 2 - 7 - T A M A N   D ' J A Y A,ANJUR KEKAL SDN.BHD.,10322,10322/10-2026/0114(R),07 Oct 2023,06 Oct 2026,-,-,-,"10322-7,",SIAP DENGAN: CCC PENUH,10322-7/03-2024/1241(R)-(L),18 Mar 2023,17 Mar 2024,"RM 299,000.00",101.73mps,RUMAH TERES,2.0,0,0,102,20.0,17.0,"299,000.00","350,000.00",100.0,"[""5.732592, 102.504883""]",,https://teduh.kpkt.gov.my/project-swasta/10322-7,"(436, '10322-7')",
1,1,1 0 6 8 1 - 7 - T A M A N   Z A Z A,MENTARI ARUS SDN. BHD.,10681,10681/12-2024/1229(R),09 Dec 2021,08 Dec 2024,-,-,-,"10681-7,",BERJALAN LANCAR,10681-7/12-2021/03616(P),09 Dec 2020,08 Dec 2021,"RM 265,000.00",0.00mps,RUMAH TERES,2.0,0,0,0,17.0,17.0,"265,000.00","347,000.00",97.21,"[""5.828171, 102.551225""]",,https://teduh.kpkt.gov.my/project-swasta/10681-7,"(407, '10681-7')",
2,2,1 0 7 7 9 - 8 - T A M A N   S E P A K A T,LEISURE GENIUS REALTY SDN. BHD.,10779,10779/06-2028/1006(R),02 Jun 2023,01 Jun 2028,-,-,-,"10779-8,",BERJALAN LANCAR,10779-8/06-2024/1139(R)-(L),02 Jun 2023,01 Jun 2024,"RM 400,000.00",167.23mps,RUMAH TERES,2.0,0,0,167,8.0,6.0,"400,000.00","442,000.00",35.0,"[""4.744467, 103.417306""]",,https://teduh.kpkt.gov.my/project-swasta/10779-8,"(450, '10779-8')",
3,3,1 0 9 4 8 - 5 - D E S A   S O L E H A H,S.A.R.T. PROPERTIES SDN. BHD.,10948,10948/02-2026/0505(R),27 Feb 2023,26 Feb 2026,-,-,-,"10948-5,",BERJALAN LANCAR,10948-5/02-2024/0603(R)-(L),27 Feb 2023,26 Feb 2024,"RM 255,000.00",74.32mps,RUMAH TERES,1.0,0,0,74,82.0,29.0,"255,000.00","428,000.00",48.6,"[""5.351176, 103.075169""]",,https://teduh.kpkt.gov.my/project-swasta/10948-5,"(416, '10948-5')",
4,4,1 1 0 5 0 - 1 1 - G E L I G A   R E S I D E N C E,KOTAMAS DEVELOPMENT (M) SDN. BHD.,11050,11050/10-2028/1232(A),07 Oct 2023,06 Oct 2028,095158000,kotamas@live.com,-,"11050-11,",SIAP DENGAN: CCC PENUH,11050-11/12-2022/03582(P),20 Dec 2021,19 Dec 2022,"RM 426,800.00",167.28mps,RUMAH TERES,2.0,0,0,167,11.0,0.0,"426,800.00","547,800.00",100.0,"[""4.194753, 103.435514""]",,https://teduh.kpkt.gov.my/project-swasta/11050-11,"(452, '11050-11')",
5,5,1 1 4 0 9 - 1 - T A M A N   C E R A N G   P E R D A N A,WARISAN MARANG SDN. BHD.,11409,11409/10-2025/0351(A),20 Oct 2022,19 Oct 2025,-,-,-,"11409-1,",SIAP DENGAN: CCC PENUH,11409-1/09-2021/0455(A)-(L),22 Sep 2020,21 Sep 2021,"RM 95,000.00",0.00mps - 158.80mps,RUMAH BERKEMBAR,1.0,0,0,130,16.0,4.0,"287,950.00","365,500.00",100.0,"[""5.173680, 103.083886""]",,https://teduh.kpkt.gov.my/project-swasta/11409-1,"(441, '11409-1')",
6,6,1 1 4 0 9 - 1 - T A M A N   C E R A N G   P E R D A N A,WARISAN MARANG SDN. BHD.,11409,11409/10-2025/0351(A),20 Oct 2022,19 Oct 2025,-,-,-,"11409-1,",SIAP DENGAN: CCC PENUH,11409-1/09-2021/0455(A)-(L),22 Sep 2020,21 Sep 2021,"RM 95,000.00",0.00mps - 158.80mps,RUMAH BERKEMBAR,1.0,0,0,123,36.0,2.0,"268,924.60","355,000.00",100.0,"[""5.173680, 103.083886""]",,https://teduh.kpkt.gov.my/project-swasta/11409-1,"(441, '11409-1')",
7,7,1 1 4 0 9 - 1 - T A M A N   C E R A N G   P E R D A N A,WARISAN MARANG SDN. BHD.,11409,11409/10-2025/0351(A),20 Oct 2022,19 Oct 2025,-,-,-,"11409-1,",SIAP DENGAN: CCC PENUH,11409-1/09-2021/0455(A)-(L),22 Sep 2020,21 Sep 2021,"RM 95,000.00",0.00mps - 158.80mps,RUMAH TERES,1.0,0,0,89,52.0,0.0,"165,672.00","210,000.00",100.0,"[""5.173680, 103.083886""]",,https://teduh.kpkt.gov.my/project-swasta/11409-1,"(441, '11409-1')",
8,8,1 1 4 0 9 - 1 - T A M A N   C E R A N G   P E R D A N A,WARISAN MARANG SDN. BHD.,11409,11409/10-2025/0351(A),20 Oct 2022,19 Oct 2025,-,-,-,"11409-1,",SIAP DENGAN: CCC PENUH,11409-1/09-2021/0455(A)-(L),22 Sep 2020,21 Sep 2021,"RM 95,000.00",0.00mps - 158.80mps,RUMAH SESEBUAH,1.0,0,0,159,2.0,0.0,"412,200.00","520,000.00",100.0,"[""5.173680, 103.083886""]",,https://teduh.kpkt.gov.my/project-swasta/11409-1,"(441, '11409-1')",
9,9,1 1 4 0 9 - 1 - T A M A N   C E R A N G   P E R D A N A,WARISAN MARANG SDN. BHD.,11409,11409/10-2025/0351(A),20 Oct 2022,19 Oct 2025,-,-,-,"11409-1,",SIAP DENGAN: CCC PENUH,11409-1/09-2021/0455(A)-(L),22 Sep 2020,21 Sep 2021,"RM 95,000.00",0.00mps - 158.80mps,RUMAH TERES,1.0,0,0,0,67.0,1.0,"95,000.00","180,000.00",100.0,"[""5.173680, 103.083886""]",,https://teduh.kpkt.gov.my/project-swasta/11409-1,"(441, '11409-1')",
