,Unnamed: 0,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location
0,0,1 3 4 0 3 - 1 - S H A F T S B U R Y   R E S O U R C E S   S D N   B H D,SHAFTSBURY AVENUE SDN. BHD.,13403,13403-1/07-2020/02396(L),11 Jul 2019,10 Jul 2020,-,-,-,"13403-1,",SIAP DENGAN: CCC PENUH,13403-1/04-2019/01759(P),17 Apr 2018,16 Apr 2019,"RM 520,000.00",0.00mps - 731.00mps,PANGSAPURI SERVIS,25.0,0,0,686,285,11,"520,000.00","706,000.00",100.0,"[""2.939400, 101.713300""]",,https://teduh.kpkt.gov.my/project-swasta/13403-1,"(0, '13403-1')"
1,1,1 3 4 0 3 - 1 - S H A F T S B U R Y   R E S O U R C E S   S D N   B H D,SHAFTSBURY AVENUE SDN. BHD.,13403,13403-1/07-2020/02396(L),11 Jul 2019,10 Jul 2020,-,-,-,"13403-1,",SIAP DENGAN: CCC PENUH,13403-1/04-2019/01759(P),17 Apr 2018,16 Apr 2019,"RM 520,000.00",0.00mps - 731.00mps,PANGSAPURI SERVIS,25.0,0,0,731,22,1,"580,000.00","743,000.00",100.0,"[""2.939400, 101.713300""]",,https://teduh.kpkt.gov.my/project-swasta/13403-1,"(0, '13403-1')"
2,2,1 3 4 0 3 - 1 - S H A F T S B U R Y   R E S O U R C E S   S D N   B H D,SHAFTSBURY AVENUE SDN. BHD.,13403,13403-1/07-2020/02396(L),11 Jul 2019,10 Jul 2020,-,-,-,"13403-1,",SIAP DENGAN: CCC PENUH,13403-1/04-2019/01759(P),17 Apr 2018,16 Apr 2019,"RM 520,000.00",0.00mps - 731.00mps,PANGSAPURI SERVIS,35.0,0,0,0,31,31,"943,000.00","1,039,000.00",100.0,"[""2.939400, 101.713300""]",,https://teduh.kpkt.gov.my/project-swasta/13403-1,"(0, '13403-1')"
3,3,1 3 4 0 3 - 1 - S H A F T S B U R Y   R E S O U R C E S   S D N   B H D,SHAFTSBURY AVENUE SDN. BHD.,13403,13403-1/07-2020/02396(L),11 Jul 2019,10 Jul 2020,-,-,-,"13403-1,",SIAP DENGAN: CCC PENUH,13403-1/04-2019/01759(P),17 Apr 2018,16 Apr 2019,"RM 520,000.00",0.00mps - 731.00mps,PANGSAPURI SERVIS,35.0,0,0,0,31,31,"1,417,000.00","1,538,000.00",100.0,"[""2.939400, 101.713300""]",,https://teduh.kpkt.gov.my/project-swasta/13403-1,"(0, '13403-1')"
4,4,1 3 4 0 3 - 1 - S H A F T S B U R Y   R E S O U R C E S   S D N   B H D,SHAFTSBURY AVENUE SDN. BHD.,13403,13403-1/07-2020/02396(L),11 Jul 2019,10 Jul 2020,-,-,-,"13403-1,",SIAP DENGAN: CCC PENUH,13403-1/04-2019/01759(P),17 Apr 2018,16 Apr 2019,"RM 520,000.00",0.00mps - 731.00mps,PANGSAPURI SERVIS,35.0,0,0,0,1,1,"3,852,000.00","3,852,000.00",100.0,"[""2.939400, 101.713300""]",,https://teduh.kpkt.gov.my/project-swasta/13403-1,"(0, '13403-1')"
5,5,1 3 4 0 3 - 1 - S H A F T S B U R Y   R E S O U R C E S   S D N   B H D,SHAFTSBURY AVENUE SDN. BHD.,13403,13403-1/07-2020/02396(L),11 Jul 2019,10 Jul 2020,-,-,-,"13403-1,",SIAP DENGAN: CCC PENUH,13403-1/04-2019/01759(P),17 Apr 2018,16 Apr 2019,"RM 520,000.00",0.00mps - 731.00mps,PANGSAPURI SERVIS,35.0,0,0,0,340,340,"670,000.00","792,000.00",100.0,"[""2.939400, 101.713300""]",,https://teduh.kpkt.gov.my/project-swasta/13403-1,"(0, '13403-1')"
6,6,1 3 4 0 3 - 1 - S H A F T S B U R Y   R E S O U R C E S   S D N   B H D,SHAFTSBURY AVENUE SDN. BHD.,13403,13403-1/07-2020/02396(L),11 Jul 2019,10 Jul 2020,-,-,-,"13403-1,",SIAP DENGAN: CCC PENUH,13403-1/04-2019/01759(P),17 Apr 2018,16 Apr 2019,"RM 520,000.00",0.00mps - 731.00mps,PANGSAPURI SERVIS,35.0,0,0,0,1,1,"3,857,000.00","3,857,000.00",100.0,"[""2.939400, 101.713300""]",,https://teduh.kpkt.gov.my/project-swasta/13403-1,"(0, '13403-1')"
7,7,1 3 4 0 3 - 1 - S H A F T S B U R Y   R E S O U R C E S   S D N   B H D,SHAFTSBURY AVENUE SDN. BHD.,13403,13403-1/07-2020/02396(L),11 Jul 2019,10 Jul 2020,-,-,-,"13403-1,",SIAP DENGAN: CCC PENUH,13403-1/04-2019/01759(P),17 Apr 2018,16 Apr 2019,"RM 520,000.00",0.00mps - 731.00mps,PANGSAPURI SERVIS,35.0,0,0,0,1,1,"3,000,000.00","3,000,000.00",100.0,"[""2.939400, 101.713300""]",,https://teduh.kpkt.gov.my/project-swasta/13403-1,"(0, '13403-1')"
8,8,1 3 4 0 3 - 1 - S H A F T S B U R Y   R E S O U R C E S   S D N   B H D,SHAFTSBURY AVENUE SDN. BHD.,13403,13403-1/07-2020/02396(L),11 Jul 2019,10 Jul 2020,-,-,-,"13403-1,",SIAP DENGAN: CCC PENUH,13403-1/04-2019/01759(P),17 Apr 2018,16 Apr 2019,"RM 520,000.00",0.00mps - 731.00mps,PANGSAPURI SERVIS,35.0,0,0,0,1,1,"2,757,000.00","2,757,000.00",100.0,"[""2.939400, 101.713300""]",,https://teduh.kpkt.gov.my/project-swasta/13403-1,"(0, '13403-1')"
9,9,1 3 4 0 3 - 1 - S H A F T S B U R Y   R E S O U R C E S   S D N   B H D,SHAFTSBURY AVENUE SDN. BHD.,13403,13403-1/07-2020/02396(L),11 Jul 2019,10 Jul 2020,-,-,-,"13403-1,",SIAP DENGAN: CCC PENUH,13403-1/04-2019/01759(P),17 Apr 2018,16 Apr 2019,"RM 520,000.00",0.00mps - 731.00mps,PANGSAPURI SERVIS,35.0,0,0,0,1,1,"4,408,000.00","4,408,000.00",100.0,"[""2.939400, 101.713300""]",,https://teduh.kpkt.gov.my/project-swasta/13403-1,"(0, '13403-1')"
