,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,9 3 9 0 - 1 - T A M A N   K A M U N T I N G   A M A N,ANTARAYA SDN. BHD.,9390,9390/01-2028/1421(A),19 Jan 2023,18 Jan 2028,-,-,asiabina_holdings@yahoo.com,"9390-1,",SIAP DENGAN: CFO PENUH,9390-1/08-2020/02639(P),19 Aug 2019,18 Aug 2020,"RM 81,800.00",0.00mps - 74.32mps,RUMAH TERES,1,0,0,0,32,0,"89,800.00","147,786.00",100.00,SIAP DENGAN: CFO PENUH,"[""4.896943, 100.697430""]",,https://teduh.kpkt.gov.my/project-swasta/9390-1,"(75, '9390-1')"
1,9 3 9 0 - 1 - T A M A N   K A M U N T I N G   A M A N,ANTARAYA SDN. BHD.,9390,9390/01-2028/1421(A),19 Jan 2023,18 Jan 2028,-,-,asiabina_holdings@yahoo.com,"9390-1,",SIAP DENGAN: CFO PENUH,9390-1/08-2020/02639(P),19 Aug 2019,18 Aug 2020,"RM 81,800.00",0.00mps - 74.32mps,RUMAH TERES,1,0,0,74,196,186,"81,800.00","143,458.00",100.00,SIAP DENGAN: CFO PENUH,"[""4.896943, 100.697430""]",,https://teduh.kpkt.gov.my/project-swasta/9390-1,"(75, '9390-1')"
2,9 3 9 0 - 1 - T A M A N   K A M U N T I N G   A M A N,ANTARAYA SDN. BHD.,9390,9390/01-2028/1421(A),19 Jan 2023,18 Jan 2028,-,-,asiabina_holdings@yahoo.com,"9390-1,",SIAP DENGAN: CFO PENUH,9390-1/08-2020/02639(P),19 Aug 2019,18 Aug 2020,"RM 81,800.00",0.00mps - 74.32mps,RUMAH TERES,2,0,0,0,37,28,"155,000.00","212,608.00",100.00,SIAP DENGAN: CFO PENUH,"[""4.896943, 100.697430""]",,https://teduh.kpkt.gov.my/project-swasta/9390-1,"(75, '9390-1')"
3,9 3 9 0 - 2 - T A M A N   K A M U N T I N G   A M A N,ANTARAYA SDN. BHD.,9390,9390/01-2028/1421(A),19 Jan 2023,18 Jan 2028,-,-,asiabina_holdings@yahoo.com,"9390-2,",SAKIT,9390-2/01-2025/1758(R)-(L),19 Jan 2024,18 Jan 2025,"RM 258,800.00",74.32mps - 85.47mps,RUMAH TERES,1,3,2,74 - 85,69,3,"258,800.00","464,800.00",97.50,SAKIT,"[""4.897550, 100.695664""]",,https://teduh.kpkt.gov.my/project-swasta/9390-2,"(76, '9390-2')"
4,9 3 9 0 - 3 - T A M A N   K A M U N T I N G   A M A N,ANTARAYA SDN. BHD.,9390,9390/01-2028/1421(A),19 Jan 2023,18 Jan 2028,-,-,asiabina_holdings@yahoo.com,"9390-3,",BERJALAN LANCAR,9390-3/06-2025/0743(N)-(L),23 Jun 2023,22 Jun 2025,"RM 332,000.00",74.00mps,RUMAH TERES,1,0,0,74,20,20,"332,000.00","468,000.00",0.00,BELUM MULA,"[""4.896225, 100.695532""]",,https://teduh.kpkt.gov.my/project-swasta/9390-3,"(77, '9390-3')"
5,9 3 9 1 - 1 - T A M A N   B E R J A Y A   B A R U,RAGAM SINAR SDN. BHD.,9391,9391-1/08-2007/974,25 Aug 2004,24 Aug 2007,03-62723032,rgmsinar@streamyx.com,-,"9391-1,",SIAP DENGAN: CFO PENUH,9391-1/803/2007(07),19 Jul 2006,18 Jul 2007,"RM 180,000.00",0.00mps,RUMAH TERES,2,0,0,0,30,30,"180,000.00","300,000.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/9391-1,"(78, '9391-1')"
6,9 3 9 1 - 1 - T A M A N   B E R J A Y A   B A R U,RAGAM SINAR SDN. BHD.,9391,9391-1/08-2007/974,25 Aug 2004,24 Aug 2007,03-62723032,rgmsinar@streamyx.com,-,"9391-1,",SIAP DENGAN: CFO PENUH,9391-1/803/2007(07),19 Jul 2006,18 Jul 2007,"RM 180,000.00",0.00mps,RUMAH TERES,2.5,0,0,0,28,28,"308,000.00","392,240.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/9391-1,"(78, '9391-1')"
7,9 3 9 1 - 1 - T A M A N   B E R J A Y A   B A R U,RAGAM SINAR SDN. BHD.,9391,9391-1/08-2007/974,25 Aug 2004,24 Aug 2007,03-62723032,rgmsinar@streamyx.com,-,"9391-1,",SIAP DENGAN: CFO PENUH,9391-1/803/2007(07),19 Jul 2006,18 Jul 2007,"RM 180,000.00",0.00mps,RUMAH TERES,2,0,0,0,28,28,"265,000.00","390,000.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/9391-1,"(78, '9391-1')"
8,9 3 9 2 - 1 - T A M A N   B U K I T   B E L I A N   ( F A S A   2 ),MULTIPLEX DEVELOPMENT SDN. BHD.,9392,9392/05-2028/0822(A),05 May 2023,04 May 2028,067586698,far_eastgroup@yahoo.com,-,"9392-1,",-,9392-1/2147/2005(11),05 Nov 2004,04 Nov 2005,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/9392-1,"(79, '9392-1')"
9,9 3 9 2 - 1 0 - T A M A N   B U K I T   I N A I,MULTIPLEX DEVELOPMENT SDN. BHD.,9392,9392/05-2028/0822(A),05 May 2023,04 May 2028,067586698,far_eastgroup@yahoo.com,-,"9392-10,",SIAP DENGAN: CCC PENUH,9392-10/05-2024/1115(R)-(L),05 May 2023,04 May 2024,"RM 421,200.00",129.17mps - 182.98mps,RUMAH TERES,2,4,3,178,2,2,"619,630.00","621,543.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.845050, 101.827741""]",,https://teduh.kpkt.gov.my/project-swasta/9392-10,"(88, '9392-10')"
