,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,7 2 4 9 - 3 - T A M A N   R E G E N T   F A S A   3,BUKIT KELANG DEVELOPMENT SDN. BHD.,7249,7249-2/09-2005/574,18 Sep 2003,17 Sep 2005,-,-,-,"7249-3,",-,7249/1753/1999(12),26 Dec 1998,25 Dec 1999,RM 0.00,0.00mps,-,-,-,-,-,-,-,-,-,-,-,,,https://teduh.kpkt.gov.my/project-swasta/7249-3,"(1, '7249-3')"
1,7 2 5 1 - 7 - S A U J A N A   U T A M A   -   F A S A   7,GLOMAC LAND SDN. BHD.,7251,7251-11/06-2007/694,16 Jun 2004,15 Jun 2007,-,-,-,"7251-7,",-,7251-7/1251/2003(06),10 Jun 2002,09 Jun 2003,RM 0.00,0.00mps,-,-,-,-,-,-,-,-,-,-,-,,,https://teduh.kpkt.gov.my/project-swasta/7251-7,"(10, '7251-7')"
2,7 2 2 3 - 9 - I R I Z - 4 7,PROTON CITY DEVELOPMENT CORPORATION SDN. BHD.,7223,7223/01-2029/1513(R),25 Jan 2024,24 Jan 2029,320528464,hadina29@gmail.com,-,"7223-9,",BERJALAN LANCAR,7223-9/06-2025/0659(N)-(L),08 Jun 2023,07 Jun 2025,"RM 443,000.00",96.00mps - 101.00mps,RUMAH TERES,1,0,0,96 - 101,47,16,"443,000.00","746,000.00",13.19,BERJALAN LANCAR,"[""3.742074, 101.536806""]",,https://teduh.kpkt.gov.my/project-swasta/7223-9,"(100, '7223-9')"
3,7 0 4 6 - 1 6 - T A M A N   D E S A,KCC DEVELOPMENT (M) SDN. BHD.,7046,7046/11-2025/0630(A),20 Nov 2020,19 Nov 2025,6069538953,ll.tan@kcc-holdings.com,-,"7046-16,",SIAP DENGAN: CCC PENUH,7046-16/2646/2012(12),12 Dec 2011,11 Dec 2012,"RM 30,000.00",0.00mps,RUMAH TERES,2,0,0,0,4,1,"50,000.00","50,000.00",100.0,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7046-16,"(1000, '7046-16')"
4,7 0 4 6 - 1 6 - T A M A N   D E S A,KCC DEVELOPMENT (M) SDN. BHD.,7046,7046/11-2025/0630(A),20 Nov 2020,19 Nov 2025,6069538953,ll.tan@kcc-holdings.com,-,"7046-16,",SIAP DENGAN: CCC PENUH,7046-16/2646/2012(12),12 Dec 2011,11 Dec 2012,"RM 30,000.00",0.00mps,RUMAH TERES,2,0,0,0,5,1,"30,000.00","30,000.00",100.0,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7046-16,"(1000, '7046-16')"
5,7 0 4 6 - 1 6 - T A M A N   D E S A,KCC DEVELOPMENT (M) SDN. BHD.,7046,7046/11-2025/0630(A),20 Nov 2020,19 Nov 2025,6069538953,ll.tan@kcc-holdings.com,-,"7046-16,",SIAP DENGAN: CCC PENUH,7046-16/2646/2012(12),12 Dec 2011,11 Dec 2012,"RM 30,000.00",0.00mps,RUMAH TERES,2,0,0,0,36,7,"338,900.00","465,780.00",100.0,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7046-16,"(1000, '7046-16')"
6,7 0 4 6 - 1 7 - T A M A N   D E S A   I I,KCC DEVELOPMENT (M) SDN. BHD.,7046,7046/11-2025/0630(A),20 Nov 2020,19 Nov 2025,6069538953,ll.tan@kcc-holdings.com,-,"7046-17,",SIAP DENGAN: CCC PENUH,7046-17/262/2013(02),09 Feb 2012,08 Feb 2013,"RM 289,900.00",0.00mps,RUMAH TERES,2,0,0,0,32,10,"289,900.00","384,820.00",100.0,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7046-17,"(1001, '7046-17')"
7,7 0 4 6 - 1 8 - T A M A N   I M P I A N   S E N A I   ( T H E   S E N A I   G A R D E N ),KCC DEVELOPMENT (M) SDN. BHD.,7046,7046/11-2025/0630(A),20 Nov 2020,19 Nov 2025,6069538953,ll.tan@kcc-holdings.com,-,"7046-18,",SIAP DENGAN: CFO PENUH,7046-18/05-2015/01816(P),26 May 2014,25 May 2015,"RM 268,280.00",65.61mps - 312.17mps,PANGSAPURI SERVIS,8,0,0,66,64,23,"369,840.00","2,193,470.00",100.0,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7046-18,"(1002, '7046-18')"
8,7 0 4 6 - 1 8 - T A M A N   I M P I A N   S E N A I   ( T H E   S E N A I   G A R D E N ),KCC DEVELOPMENT (M) SDN. BHD.,7046,7046/11-2025/0630(A),20 Nov 2020,19 Nov 2025,6069538953,ll.tan@kcc-holdings.com,-,"7046-18,",SIAP DENGAN: CFO PENUH,7046-18/05-2015/01816(P),26 May 2014,25 May 2015,"RM 268,280.00",65.61mps - 312.17mps,PANGSAPURI SERVIS,10,0,0,187,100,44,"268,280.00","1,183,280.00",100.0,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7046-18,"(1002, '7046-18')"
9,7 0 4 6 - 1 8 - T A M A N   I M P I A N   S E N A I   ( T H E   S E N A I   G A R D E N ),KCC DEVELOPMENT (M) SDN. BHD.,7046,7046/11-2025/0630(A),20 Nov 2020,19 Nov 2025,6069538953,ll.tan@kcc-holdings.com,-,"7046-18,",SIAP DENGAN: CFO PENUH,7046-18/05-2015/01816(P),26 May 2014,25 May 2015,"RM 268,280.00",65.61mps - 312.17mps,PANGSAPURI SERVIS,10,0,0,312,100,35,"268,280.01","1,183,280.01",100.0,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/7046-18,"(1002, '7046-18')"
