,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,7 4 7 9 - 4 4 - T H Y M E S   @ 8,PUTRAJAYA HOMES SDN. BHD.,7479,7479/03-2028/0489(A),31 Mar 2023,30 Mar 2028,0388838850,azlany@pjh.com.my,-,"7479-44,",PERMIT TELAH DIBATALKAN,7479-44/11-2019/0887(P),03 Nov 2017,02 Nov 2019,"RM 2,168,000.00",0.00mps,RUMAH BERKEMBAR,3,0,0,0,6,6,"2,168,000.00","2,358,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.960388, 101.670614""]",,https://teduh.kpkt.gov.my/project-swasta/7479-44,"(380, '7479-44')"
1,7 4 7 9 - 4 5 - P P A 1 M   K E T U M B A R,PUTRAJAYA HOMES SDN. BHD.,7479,7479/03-2028/0489(A),31 Mar 2023,30 Mar 2028,0388838850,azlany@pjh.com.my,-,"7479-45,",BELUM MULA,7479-45/03-2021/01830(P),09 Mar 2020,08 Mar 2021,"RM 150,000.00",0.00mps,RUMAH PANGSA/KONDO,25,0,0,0,284,284,"150,000.00","220,000.00",0.00,-,,,https://teduh.kpkt.gov.my/project-swasta/7479-45,"(381, '7479-45')"
2,7 4 7 9 - 4 5 - P P A 1 M   K E T U M B A R,PUTRAJAYA HOMES SDN. BHD.,7479,7479/03-2028/0489(A),31 Mar 2023,30 Mar 2028,0388838850,azlany@pjh.com.my,-,"7479-45,",BELUM MULA,7479-45/03-2021/01830(P),09 Mar 2020,08 Mar 2021,"RM 150,000.00",0.00mps,RUMAH PANGSA/KONDO,28,0,0,0,315,315,"150,000.00","220,000.00",0.00,-,,,https://teduh.kpkt.gov.my/project-swasta/7479-45,"(381, '7479-45')"
3,7 4 7 9 - 4 5 - P P A 1 M   K E T U M B A R,PUTRAJAYA HOMES SDN. BHD.,7479,7479/03-2028/0489(A),31 Mar 2023,30 Mar 2028,0388838850,azlany@pjh.com.my,-,"7479-45,",BELUM MULA,7479-45/03-2021/01830(P),09 Mar 2020,08 Mar 2021,"RM 150,000.00",0.00mps,RUMAH PANGSA/KONDO,28,0,0,0,201,201,"150,000.00","220,000.00",0.00,-,,,https://teduh.kpkt.gov.my/project-swasta/7479-45,"(381, '7479-45')"
4,7 4 7 9 - 4 6 - M U R R A Y A,PUTRAJAYA HOMES SDN. BHD.,7479,7479/03-2028/0489(A),31 Mar 2023,30 Mar 2028,0388838850,azlany@pjh.com.my,-,"7479-46,",SIAP DENGAN: CCC PENUH,7479-46/12-2022/0824(P),16 Dec 2020,15 Dec 2022,"RM 938,000.00",198.90mps,RUMAH TERES,2,0,0,199,118,51,"938,000.00","1,598,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.959513, 101.708234""]",,https://teduh.kpkt.gov.my/project-swasta/7479-46,"(382, '7479-46')"
5,7 4 7 9 - 4 7 - P P A M   K A S T U R I,PUTRAJAYA HOMES SDN. BHD.,7479,7479/03-2028/0489(A),31 Mar 2023,30 Mar 2028,0388838850,azlany@pjh.com.my,-,"7479-47,",BELUM MULA,7479-47/03-2023/0286(P),31 Mar 2021,30 Mar 2023,"RM 150,000.00",0.00mps,RUMAH PANGSA/KONDO,26,0,0,0,404,404,"150,000.00","220,000.00",0.00,-,,,https://teduh.kpkt.gov.my/project-swasta/7479-47,"(383, '7479-47')"
6,7 4 7 9 - 4 8 - R E S I D E N S I   S A K U R A,PUTRAJAYA HOMES SDN. BHD.,7479,7479/03-2028/0489(A),31 Mar 2023,30 Mar 2028,0388838850,azlany@pjh.com.my,-,"7479-48,",BERJALAN LANCAR,7479-48/12-2025/0432(N)-(S),17 Dec 2022,16 Dec 2025,"RM 350,000.00",0.00mps,RUMAH PANGSA/KONDO,16,3,2,0,239,212,"350,000.00","980,000.00",78.17,BERJALAN LANCAR,"[""2.952997, 101.674382""]",,https://teduh.kpkt.gov.my/project-swasta/7479-48,"(384, '7479-48')"
7,7 4 7 9 - 4 8 - R E S I D E N S I   S A K U R A,PUTRAJAYA HOMES SDN. BHD.,7479,7479/03-2028/0489(A),31 Mar 2023,30 Mar 2028,0388838850,azlany@pjh.com.my,-,"7479-48,",BERJALAN LANCAR,7479-48/12-2025/0432(N)-(S),17 Dec 2022,16 Dec 2025,"RM 350,000.00",0.00mps,RUMAH PANGSA/KONDO,17,0,0,0,224,184,"457,000.00","978,000.00",90.47,BERJALAN LANCAR,"[""2.952997, 101.674382""]",,https://teduh.kpkt.gov.my/project-swasta/7479-48,"(384, '7479-48')"
8,"7 4 8 0 - 1 - L O T   2 1 3 5   E M R   2 2 1 7 ,   M U K I M   K A P A R",SUASANA EHSAN (M) SDN. BHD.,7480,7480-3/10-2009/1009,09 Oct 2006,08 Oct 2009,03-55132957,-,-,"7480-1,",-,7480/1086/2001(06),24 Jun 2000,23 Jun 2001,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/7480-1,"(385, '7480-1')"
9,7 4 8 0 - 2 - T A M A N   D E S A   K E N C A N A,SUASANA EHSAN (M) SDN. BHD.,7480,7480-3/10-2009/1009,09 Oct 2006,08 Oct 2009,03-55132957,-,-,"7480-2,",TERBENGKALAI,-,-,-,"RM 121,500.00",0.00mps,RUMAH TERES,2,0,0,0,37,37,"121,500.00","150,000.00",90.62,SAKIT,,,https://teduh.kpkt.gov.my/project-swasta/7480-2,"(386, '7480-2')"
