,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,1 2 3 2 2 - 2 - K O P E R A S I   S E R B A G U N A   D A R A   B E R H A D,KOPERASI SERBAGUNA DARA BERHAD,12322,12322/02-2028/0776(R),24 Feb 2023,23 Feb 2028,094528662,hajighaniksd@gmail.com,-,"12322-2,",SIAP DENGAN: CCC PENUH,12322-2/06-2019/0432(P),16 Jun 2017,15 Jun 2019,"RM 290,000.00",134.00mps,RUMAH BERKEMBAR,1.0,0,0,134,8,3,"290,000.00","327,500.00",100.0,SIAP DENGAN: CCC PENUH,"[""3.067483, 103.102311""]",,https://teduh.kpkt.gov.my/project-swasta/12322-2,"(38, '12322-2')"
1,1 2 3 2 2 - 3 - D E S A   A L A M A N D A,KOPERASI SERBAGUNA DARA BERHAD,12322,12322/02-2028/0776(R),24 Feb 2023,23 Feb 2028,094528662,hajighaniksd@gmail.com,-,"12322-3,",SAKIT,12322-3/02-2023/01394(A)-(L),24 Feb 2022,23 Feb 2023,"RM 240,000.00",121.00mps,RUMAH TERES,1.0,0,0,121,16,0,"240,000.00","328,800.00",97.5,SAKIT,"[""3.067933, 103.099779""]",,https://teduh.kpkt.gov.my/project-swasta/12322-3,"(39, '12322-3')"
2,1 2 3 2 3 - 1 - K I A R A   K E R T E H,"SHAPADU PROPERTIES SDN. BHD,.",12323,12323-1/10-2015/0664(L),10 Oct 2013,09 Oct 2015,0355108887,shapadu.properties@gmail.com,WWW.SHAPADU.COM.MY,"12323-1,",SIAP DENGAN: CCC PENUH,12323-1/10-2015/0664(P),10 Oct 2013,09 Oct 2015,"RM 329,000.00",347.41mps,RUMAH TERES,2.0,0,0,347,92,9,"329,000.00","522,500.00",100.0,SIAP DENGAN: CCC PENUH,"[""4.496313, 103.435978""]",,https://teduh.kpkt.gov.my/project-swasta/12323-1,"(40, '12323-1')"
3,1 2 3 2 4 - 1 - F E R R I N G H I   R E S I D E N C E,UPTREND HOUSING DEVELOPMENT SDN. BHD.,12324,12324/08-2027/0678(R),17 Aug 2022,16 Aug 2027,-,-,-,"12324-1,",SIAP DENGAN: CCC PENUH,12324-1/12-2015/02594(P),26 Dec 2014,25 Dec 2015,"RM 1,131,000.00",0.00mps,RUMAH PANGSA/KONDO,5.0,0,0,0,200,-6,"1,131,000.00","2,472,730.00",100.0,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/12324-1,"(41, '12324-1')"
4,1 2 3 2 4 - 2 - F E R I N G G H I   R E S I D E N C E   2,UPTREND HOUSING DEVELOPMENT SDN. BHD.,12324,12324/08-2027/0678(R),17 Aug 2022,16 Aug 2027,-,-,-,"12324-2,",SIAP DENGAN: CCC PENUH,12324-2/08-2021/02922(P),17 Aug 2020,16 Aug 2021,"RM 1,058,460.00",60.00mps,RUMAH PANGSA/KONDO,32.0,0,0,60,478,273,"1,058,460.00","1,461,460.00",100.0,SIAP DENGAN: CCC PENUH,"[""5.468422, 100.253819""]",,https://teduh.kpkt.gov.my/project-swasta/12324-2,"(42, '12324-2')"
5,1 2 3 2 5 - 1 - T A M A R I N D   7,BBGM DEVELOPMENT (KK) SDN. BHD.,12325,12325/01-2028/0040(R),26 Jan 2023,25 Jan 2028,-,-,-,"12325-1,",SIAP DENGAN: CCC PENUH,12325-1/06-2015/0285(P),29 Jun 2013,28 Jun 2015,"RM 2,288,888.00","4,554.00mps",RUMAH SESEBUAH,3.0,0,0,"4,554",7,0,"2,288,888.00","2,488,888.00",100.0,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/12325-1,"(43, '12325-1')"
6,1 2 3 2 5 - 2 - B A N D A R   P I N G G I R A N   K U A L A   K R A I,BBGM DEVELOPMENT (KK) SDN. BHD.,12325,12325/01-2028/0040(R),26 Jan 2023,25 Jan 2028,-,-,-,"12325-2,",SIAP DENGAN: CCC PENUH,12325-2/03-2023/0267(R)-(L),06 Mar 2022,05 Mar 2023,"RM 188,000.00","1,152.00mps - 1,615.00mps",RUMAH TERES,1.0,0,0,"1,152",102,0,"188,000.00","279,300.00",100.0,SIAP DENGAN: CCC PENUH,"[""5.493680, 102.222882""]",,https://teduh.kpkt.gov.my/project-swasta/12325-2,"(44, '12325-2')"
7,1 2 3 2 5 - 2 - B A N D A R   P I N G G I R A N   K U A L A   K R A I,BBGM DEVELOPMENT (KK) SDN. BHD.,12325,12325/01-2028/0040(R),26 Jan 2023,25 Jan 2028,-,-,-,"12325-2,",SIAP DENGAN: CCC PENUH,12325-2/03-2023/0267(R)-(L),06 Mar 2022,05 Mar 2023,"RM 188,000.00","1,152.00mps - 1,615.00mps",RUMAH TERES,1.0,0,0,"1,615",21,0,"338,000.00","395,900.00",100.0,SIAP DENGAN: CCC PENUH,"[""5.493680, 102.222882""]",,https://teduh.kpkt.gov.my/project-swasta/12325-2,"(44, '12325-2')"
8,1 2 3 2 5 - 3 - L A M A N   F I R D A U S   B A N D A R   B A R U   K U A L A   K R A I,BBGM DEVELOPMENT (KK) SDN. BHD.,12325,12325/01-2028/0040(R),26 Jan 2023,25 Jan 2028,-,-,-,"12325-3,",SIAP DENGAN: CCC PENUH,12325-3/01-2023/58(A)-(L),26 Jan 2021,25 Jan 2023,"RM 238,000.00",107.00mps,RUMAH TERES,1.0,0,0,107,23,1,"238,000.00","270,800.00",100.0,SIAP DENGAN: CCC PENUH,"[""5.493680, 102.222882""]",,https://teduh.kpkt.gov.my/project-swasta/12325-3,"(45, '12325-3')"
9,1 2 3 2 6 - 1 - S U T E R A   V I L L A   P A R K,SUASANA GIGIH SDN BHD,12326,12326-1/03-2016/338,18 Mar 2013,18 Mar 2013,603-56124511,SUASANAGIGIH@YAHOO.COM,-,"12326-1,",SIAP DENGAN: CCC PENUH,-,-,-,"RM 463,000.00",0.00mps - 232.26mps,RUMAH SESEBUAH,2.0,0,0,0,1,1,"900,000.00","900,000.00",100.0,SIAP DENGAN: CCC PENUH,"[""2.855504, 101.671035""]",,https://teduh.kpkt.gov.my/project-swasta/12326-1,"(46, '12326-1')"
