,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,1 2 3 0 2 - 2 - T A M A N   D E S A   J A R O M,CENZCON DEVELOPMENT SDN. BHD.,12302,12302/08-2026/1064(R),27 Aug 2023,26 Aug 2026,-,cenzcondevelopment@gmail.com,-,"12302-2,",SIAP DENGAN: CCC PENUH,12302-2/10-2018/0833(P),30 Oct 2016,29 Oct 2018,"RM 488,888.00",245.00mps,RUMAH KLUSTER,2,0,0,245,28,16,"488,888.00","758,888.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.873658, 101.485608""]",,https://teduh.kpkt.gov.my/project-swasta/12302-2,"(88, '12302-2')"
1,1 2 3 0 2 - 3 - T A M A N   T E R A T A I,CENZCON DEVELOPMENT SDN. BHD.,12302,12302/08-2026/1064(R),27 Aug 2023,26 Aug 2026,-,cenzcondevelopment@gmail.com,-,"12302-3,",PERMIT TELAH DIBATALKAN,12302-3/09-2022/0594(P),08 Sep 2020,07 Sep 2022,"RM 278,000.00",0.00mps,RUMAH TERES,1,0,0,0,52,52,"278,000.00","428,000.00",5.00,BERJALAN LANCAR,"[""3.782893, 101.002948""]",,https://teduh.kpkt.gov.my/project-swasta/12302-3,"(89, '12302-3')"
2,1 2 3 0 2 - 3 - T A M A N   T E R A T A I,CENZCON DEVELOPMENT SDN. BHD.,12302,12302/08-2026/1064(R),27 Aug 2023,26 Aug 2026,-,cenzcondevelopment@gmail.com,-,"12302-3,",PERMIT TELAH DIBATALKAN,12302-3/09-2022/0594(P),08 Sep 2020,07 Sep 2022,"RM 278,000.00",0.00mps,RUMAH BERKEMBAR,1,0,0,0,4,4,"388,000.00","435,000.00",5.00,BERJALAN LANCAR,"[""3.782893, 101.002948""]",,https://teduh.kpkt.gov.my/project-swasta/12302-3,"(89, '12302-3')"
3,1 2 3 0 2 - 4 - D E S A   S A L A K   P E K E R T I,CENZCON DEVELOPMENT SDN. BHD.,12302,12302/08-2026/1064(R),27 Aug 2023,26 Aug 2026,-,cenzcondevelopment@gmail.com,-,"12302-4,",SAKIT,12302-4/08-2024/1340(R)-(L),27 Aug 2023,26 Aug 2024,"RM 398,000.00",78.04mps,RUMAH TERES,1,0,0,78,24,5,"398,000.00","467,800.00",87.08,SAKIT,"[""2.798748, 101.706856""]",,https://teduh.kpkt.gov.my/project-swasta/12302-4,"(90, '12302-4')"
4,1 2 3 0 2 - 4 - D E S A   S A L A K   P E K E R T I,CENZCON DEVELOPMENT SDN. BHD.,12302,12302/08-2026/1064(R),27 Aug 2023,26 Aug 2026,-,cenzcondevelopment@gmail.com,-,"12302-4,",SAKIT,12302-4/08-2024/1340(R)-(L),27 Aug 2023,26 Aug 2024,"RM 398,000.00",78.04mps,RUMAH TERES,1,0,0,78,9,0,"402,100.00","436,050.00",87.22,SAKIT,"[""2.798748, 101.706856""]",,https://teduh.kpkt.gov.my/project-swasta/12302-4,"(90, '12302-4')"
5,1 2 3 0 2 - 4 - D E S A   S A L A K   P E K E R T I,CENZCON DEVELOPMENT SDN. BHD.,12302,12302/08-2026/1064(R),27 Aug 2023,26 Aug 2026,-,cenzcondevelopment@gmail.com,-,"12302-4,",SAKIT,12302-4/08-2024/1340(R)-(L),27 Aug 2023,26 Aug 2024,"RM 398,000.00",78.04mps,RUMAH TERES,1,0,0,78,10,0,"401,000.00","491,450.00",86.25,SAKIT,"[""2.798748, 101.706856""]",,https://teduh.kpkt.gov.my/project-swasta/12302-4,"(90, '12302-4')"
6,1 2 3 0 3 - 1 - T H E   L A N D M A R K,KATANA DEVELOPMENTS (THE LANDMARK) SDN. BHD.,12303,12303-1/06-2017/01859(L),07 Jun 2016,06 Jun 2017,-,-,-,"12303-1,",SIAP DENGAN: CCC PENUH,12303-1/06-2017/01859(P),07 Jun 2016,06 Jun 2017,"RM 3,988,000.00",0.00mps,RUMAH PANGSA/KONDO,41,0,0,0,66,47,"3,988,000.00","12,588,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""5.448263, 100.305570""]",,https://teduh.kpkt.gov.my/project-swasta/12303-1,"(91, '12303-1')"
7,1 2 3 0 4 - 1 - K L   S O U T H   D E V E L O P M E N T   S D N   B H D,KL SOUTH DEVELOPMENT SDN. BHD.,12304,12304-1/11-2020/03262(L),08 Nov 2019,07 Nov 2020,-,-,-,"12304-1,",SIAP DENGAN: CCC PENUH,12304-1/03-2019/01608(P),22 Mar 2018,21 Mar 2019,"RM 700,000.00","5,500.00mps",RUMAH PANGSA/KONDO,24,0,0,"5,500",366,186,"700,000.00","3,000,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""3.088467, 101.673980""]",,https://teduh.kpkt.gov.my/project-swasta/12304-1,"(92, '12304-1')"
8,1 2 3 0 5 - 1 - T A M A N   S U N S U R I A,GREAT RICHMOND PROPERTIES SDN. BHD.,12305,12305/12-2025/0642(R),06 Dec 2022,05 Dec 2025,-,quekandco@gmail.com,-,"12305-1,",SIAP DENGAN: CCC PENUH,12305-1/07-2015/02003(P),08 Jul 2014,07 Jul 2015,"RM 345,000.00",104.80mps,RUMAH BERKEMBAR,1,0,0,105,30,13,"345,000.00","388,000.00",100.00,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/12305-1,"(93, '12305-1')"
9,1 2 3 0 5 - 2 - P A N D A N   M E N T A R I,GREAT RICHMOND PROPERTIES SDN. BHD.,12305,12305/12-2025/0642(R),06 Dec 2022,05 Dec 2025,-,quekandco@gmail.com,-,"12305-2,",SIAP DENGAN: CCC PENUH,12305-2/08-2019/02627(P),27 Aug 2018,26 Aug 2019,"RM 265,000.00",93.00mps,RUMAH TERES,1,0,0,93,27,8,"265,000.00","420,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""3.771361, 103.222083""]",,https://teduh.kpkt.gov.my/project-swasta/12305-2,"(94, '12305-2')"
10,1 2 3 0 5 - 3 - T A M A N   Q A S R I N A,GREAT RICHMOND PROPERTIES SDN. BHD.,12305,12305/12-2025/0642(R),06 Dec 2022,05 Dec 2025,-,quekandco@gmail.com,-,"12305-3,",SIAP DENGAN: CCC PENUH,12305-3/07-2020/0607(P),06 Jul 2018,05 Jul 2020,"RM 272,000.00",89.00mps - 125.00mps,RUMAH TERES,1,0,0,89,11,1,"272,000.00","410,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""3.752000, 103.305389""]",,https://teduh.kpkt.gov.my/project-swasta/12305-3,"(95, '12305-3')"
