,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,9 1 3 1 - 1 - T A M A N   P E R M A I   2,PANSCAPE DEVELOPMENT SDN. BHD.,9131,9131-6/09-2009/930,19 Sep 2006,18 Sep 2009,03-33430872,panscape@streamyx.com,-,"9131-1,",-,9131-1/2707/2004(12),12 Dec 2003,11 Dec 2004,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/9131-1,"(375, '9131-1')"
1,9 1 3 1 - 2 - T A M A N   P E R M A I   3,PANSCAPE DEVELOPMENT SDN. BHD.,9131,9131-6/09-2009/930,19 Sep 2006,18 Sep 2009,03-33430872,panscape@streamyx.com,-,"9131-2,",-,9131-2/631/2006(03),24 Mar 2005,23 Mar 2006,RM 0.00,0.00mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/9131-2,"(376, '9131-2')"
2,9 1 3 1 - 3 - T A M A N   T E L U K   D A M A I,PANSCAPE DEVELOPMENT SDN. BHD.,9131,9131-6/09-2009/930,19 Sep 2006,18 Sep 2009,03-33430872,panscape@streamyx.com,-,"9131-3,",SIAP DENGAN: CFO PENUH,9131-3/1569/2006(07),04 Jul 2005,03 Jul 2006,"RM 113,000.00",0.00mps,RUMAH TERES,1,0,0,0,68,68,"113,000.00","152,300.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/9131-3,"(377, '9131-3')"
3,9 1 3 1 - 3 - T A M A N   T E L U K   D A M A I,PANSCAPE DEVELOPMENT SDN. BHD.,9131,9131-6/09-2009/930,19 Sep 2006,18 Sep 2009,03-33430872,panscape@streamyx.com,-,"9131-3,",SIAP DENGAN: CFO PENUH,9131-3/1569/2006(07),04 Jul 2005,03 Jul 2006,"RM 113,000.00",0.00mps,RUMAH TERES,2,0,0,0,9,9,"160,000.00","300,000.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/9131-3,"(377, '9131-3')"
4,9 1 3 1 - 4 - T A M A N   P E R M A I   4,PANSCAPE DEVELOPMENT SDN. BHD.,9131,9131-6/09-2009/930,19 Sep 2006,18 Sep 2009,03-33430872,panscape@streamyx.com,-,"9131-4,",SIAP DENGAN: CFO PENUH,9131-4/1681/2007(08),18 Aug 2006,17 Aug 2007,"RM 125,000.00",0.00mps,RUMAH TERES,1,0,0,0,36,36,"125,000.00","193,000.00",95.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/9131-4,"(378, '9131-4')"
5,9 1 3 1 - 5 - T A M A N   T E L U K   D A M A I,PANSCAPE DEVELOPMENT SDN. BHD.,9131,9131-6/09-2009/930,19 Sep 2006,18 Sep 2009,03-33430872,panscape@streamyx.com,-,"9131-5,",-,-,-,-,"RM 113,000.00",0.00mps,RUMAH TERES,1,0,0,0,68,68,"113,000.00","152,300.00",0.00,-,,,https://teduh.kpkt.gov.my/project-swasta/9131-5,"(379, '9131-5')"
6,9 1 3 1 - 5 - T A M A N   T E L U K   D A M A I,PANSCAPE DEVELOPMENT SDN. BHD.,9131,9131-6/09-2009/930,19 Sep 2006,18 Sep 2009,03-33430872,panscape@streamyx.com,-,"9131-5,",-,-,-,-,"RM 113,000.00",0.00mps,RUMAH TERES,2,0,0,0,9,9,"160,000.00","300,000.00",0.00,-,,,https://teduh.kpkt.gov.my/project-swasta/9131-5,"(379, '9131-5')"
7,9 1 3 1 - 6 - T A M A N   D E S A   P E R M A I   2,PANSCAPE DEVELOPMENT SDN. BHD.,9131,9131-6/09-2009/930,19 Sep 2006,18 Sep 2009,03-33430872,panscape@streamyx.com,-,"9131-6,",SIAP DENGAN: CFO PENUH,9131-6/2550/2007(12),11 Dec 2006,10 Dec 2007,"RM 118,800.00",0.00mps,RUMAH TERES,2,0,0,0,11,11,"158,800.00","200,000.00",95.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/9131-6,"(380, '9131-6')"
8,9 1 3 1 - 6 - T A M A N   D E S A   P E R M A I   2,PANSCAPE DEVELOPMENT SDN. BHD.,9131,9131-6/09-2009/930,19 Sep 2006,18 Sep 2009,03-33430872,panscape@streamyx.com,-,"9131-6,",SIAP DENGAN: CFO PENUH,9131-6/2550/2007(12),11 Dec 2006,10 Dec 2007,"RM 118,800.00",0.00mps,RUMAH TERES,1,0,0,0,27,27,"118,800.00","121,800.00",95.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/9131-6,"(380, '9131-6')"
9,9 1 3 1 - 6 - T A M A N   D E S A   P E R M A I   2,PANSCAPE DEVELOPMENT SDN. BHD.,9131,9131-6/09-2009/930,19 Sep 2006,18 Sep 2009,03-33430872,panscape@streamyx.com,-,"9131-6,",SIAP DENGAN: CFO PENUH,9131-6/2550/2007(12),11 Dec 2006,10 Dec 2007,"RM 118,800.00",0.00mps,RUMAH KEDAI (G),2,0,0,0,6,6,"338,800.00","550,000.00",95.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/9131-6,"(380, '9131-6')"
