,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,1 0 0 4 8 - 1 - C A D A N G A N   P E M B G N   C A M P U R A N   B A N D A R   B A R U   P A S I R   M A S,TAMAN SEMASA (M) SDN. BHD.,10048,10048/07-2025/0474(A),31 May 2022,21 Jul 2025,+60392857439,tamansemasa@gmail.com,-,"10048-1,",SIAP DENGAN: CFO PENUH,10048-1/08-2015/02182(P),01 Sep 2014,31 Aug 2015,"RM 81,800.00",0mps - 150mps,RUMAH BERKEMBAR,2,0,0,0,26,0,"218,000.00","238,900.00",100.00,SIAP DENGAN: CFO PENUH,"[""6.006621, 102.095444""]",,https://teduh.kpkt.gov.my/project-swasta/10048-1,"(0, '10048-1')"
1,1 0 0 4 8 - 1 - C A D A N G A N   P E M B G N   C A M P U R A N   B A N D A R   B A R U   P A S I R   M A S,TAMAN SEMASA (M) SDN. BHD.,10048,10048/07-2025/0474(A),31 May 2022,21 Jul 2025,+60392857439,tamansemasa@gmail.com,-,"10048-1,",SIAP DENGAN: CFO PENUH,10048-1/08-2015/02182(P),01 Sep 2014,31 Aug 2015,"RM 81,800.00",0mps - 150mps,RUMAH TERES,2,0,0,150,10,1,"143,000.02","181,300.02",100.00,SIAP DENGAN: CFO PENUH,"[""6.006621, 102.095444""]",,https://teduh.kpkt.gov.my/project-swasta/10048-1,"(0, '10048-1')"
2,1 0 0 4 8 - 1 - C A D A N G A N   P E M B G N   C A M P U R A N   B A N D A R   B A R U   P A S I R   M A S,TAMAN SEMASA (M) SDN. BHD.,10048,10048/07-2025/0474(A),31 May 2022,21 Jul 2025,+60392857439,tamansemasa@gmail.com,-,"10048-1,",SIAP DENGAN: CFO PENUH,10048-1/08-2015/02182(P),01 Sep 2014,31 Aug 2015,"RM 81,800.00",0mps - 150mps,RUMAH TERES,1.5,0,0,0,14,0,"118,000.00","118,000.00",100.00,SIAP DENGAN: CFO PENUH,"[""6.006621, 102.095444""]",,https://teduh.kpkt.gov.my/project-swasta/10048-1,"(0, '10048-1')"
3,1 0 0 4 8 - 1 - C A D A N G A N   P E M B G N   C A M P U R A N   B A N D A R   B A R U   P A S I R   M A S,TAMAN SEMASA (M) SDN. BHD.,10048,10048/07-2025/0474(A),31 May 2022,21 Jul 2025,+60392857439,tamansemasa@gmail.com,-,"10048-1,",SIAP DENGAN: CFO PENUH,10048-1/08-2015/02182(P),01 Sep 2014,31 Aug 2015,"RM 81,800.00",0mps - 150mps,RUMAH SESEBUAH,2,0,0,0,90,80,"258,000.00","280,000.00",100.00,SIAP DENGAN: CFO PENUH,"[""6.006621, 102.095444""]",,https://teduh.kpkt.gov.my/project-swasta/10048-1,"(0, '10048-1')"
4,1 0 0 4 8 - 1 - C A D A N G A N   P E M B G N   C A M P U R A N   B A N D A R   B A R U   P A S I R   M A S,TAMAN SEMASA (M) SDN. BHD.,10048,10048/07-2025/0474(A),31 May 2022,21 Jul 2025,+60392857439,tamansemasa@gmail.com,-,"10048-1,",SIAP DENGAN: CFO PENUH,10048-1/08-2015/02182(P),01 Sep 2014,31 Aug 2015,"RM 81,800.00",0mps - 150mps,RUMAH TERES,2,0,0,0,8,0,"180,500.00","205,100.00",100.00,SIAP DENGAN: CFO PENUH,"[""6.006621, 102.095444""]",,https://teduh.kpkt.gov.my/project-swasta/10048-1,"(0, '10048-1')"
5,1 0 0 4 8 - 1 - C A D A N G A N   P E M B G N   C A M P U R A N   B A N D A R   B A R U   P A S I R   M A S,TAMAN SEMASA (M) SDN. BHD.,10048,10048/07-2025/0474(A),31 May 2022,21 Jul 2025,+60392857439,tamansemasa@gmail.com,-,"10048-1,",SIAP DENGAN: CFO PENUH,10048-1/08-2015/02182(P),01 Sep 2014,31 Aug 2015,"RM 81,800.00",0mps - 150mps,RUMAH TERES,2,0,0,150,37,0,"143,000.01","181,300.01",100.00,SIAP DENGAN: CFO PENUH,"[""6.006621, 102.095444""]",,https://teduh.kpkt.gov.my/project-swasta/10048-1,"(0, '10048-1')"
6,1 0 0 4 8 - 1 - C A D A N G A N   P E M B G N   C A M P U R A N   B A N D A R   B A R U   P A S I R   M A S,TAMAN SEMASA (M) SDN. BHD.,10048,10048/07-2025/0474(A),31 May 2022,21 Jul 2025,+60392857439,tamansemasa@gmail.com,-,"10048-1,",SIAP DENGAN: CFO PENUH,10048-1/08-2015/02182(P),01 Sep 2014,31 Aug 2015,"RM 81,800.00",0mps - 150mps,RUMAH BERKEMBAR,1,0,0,0,26,16,"163,000.00","176,900.00",100.00,SIAP DENGAN: CFO PENUH,"[""6.006621, 102.095444""]",,https://teduh.kpkt.gov.my/project-swasta/10048-1,"(0, '10048-1')"
7,1 0 0 4 8 - 1 - C A D A N G A N   P E M B G N   C A M P U R A N   B A N D A R   B A R U   P A S I R   M A S,TAMAN SEMASA (M) SDN. BHD.,10048,10048/07-2025/0474(A),31 May 2022,21 Jul 2025,+60392857439,tamansemasa@gmail.com,-,"10048-1,",SIAP DENGAN: CFO PENUH,10048-1/08-2015/02182(P),01 Sep 2014,31 Aug 2015,"RM 81,800.00",0mps - 150mps,RUMAH TERES,1,0,0,0,41,0,"81,800.00","193,100.00",100.00,SIAP DENGAN: CFO PENUH,"[""6.006621, 102.095444""]",,https://teduh.kpkt.gov.my/project-swasta/10048-1,"(0, '10048-1')"
8,1 0 0 4 8 - 1 - C A D A N G A N   P E M B G N   C A M P U R A N   B A N D A R   B A R U   P A S I R   M A S,TAMAN SEMASA (M) SDN. BHD.,10048,10048/07-2025/0474(A),31 May 2022,21 Jul 2025,+60392857439,tamansemasa@gmail.com,-,"10048-1,",SIAP DENGAN: CFO PENUH,10048-1/08-2015/02182(P),01 Sep 2014,31 Aug 2015,"RM 81,800.00",0mps - 150mps,RUMAH TERES,2,0,0,0,15,0,"143,000.00","181,300.00",100.00,SIAP DENGAN: CFO PENUH,"[""6.006621, 102.095444""]",,https://teduh.kpkt.gov.my/project-swasta/10048-1,"(0, '10048-1')"
9,1 0 0 8 6 - 1 - D E S A   W A D I   I M A N   P M B K,PERBADANAN MENTERI BESAR KELANTAN,10086,10086/10-2024/0415(R),16 Oct 2021,15 Oct 2024,0139810054,syazwan@pmbk.gov.my,www.pmbk.gov.my,"10086-1,",SIAP DENGAN: CFO PENUH,10086-1/12-2017/03010(P),08 Dec 2016,07 Dec 2017,"RM 38,000.00",0mps - 73mps,RUMAH TERES,1,0,0,73,26,2,"87,500.00","116,000.00",100.00,SIAP DENGAN: CFO PENUH,"[""5.912540, 102.236130""]",,https://teduh.kpkt.gov.my/project-swasta/10086-1,"(1, '10086-1')"
10,1 0 0 8 6 - 1 - D E S A   W A D I   I M A N   P M B K,PERBADANAN MENTERI BESAR KELANTAN,10086,10086/10-2024/0415(R),16 Oct 2021,15 Oct 2024,0139810054,syazwan@pmbk.gov.my,www.pmbk.gov.my,"10086-1,",SIAP DENGAN: CFO PENUH,10086-1/12-2017/03010(P),08 Dec 2016,07 Dec 2017,"RM 38,000.00",0mps - 73mps,RUMAH TERES,2,0,0,70,36,0,"170,000.00","205,000.00",100.00,SIAP DENGAN: CFO PENUH,"[""5.912540, 102.236130""]",,https://teduh.kpkt.gov.my/project-swasta/10086-1,"(1, '10086-1')"
11,1 0 0 8 6 - 1 - D E S A   W A D I   I M A N   P M B K,PERBADANAN MENTERI BESAR KELANTAN,10086,10086/10-2024/0415(R),16 Oct 2021,15 Oct 2024,0139810054,syazwan@pmbk.gov.my,www.pmbk.gov.my,"10086-1,",SIAP DENGAN: CFO PENUH,10086-1/12-2017/03010(P),08 Dec 2016,07 Dec 2017,"RM 38,000.00",0mps - 73mps,RUMAH TERES,1,0,0,73,50,0,"115,000.00","157,000.00",100.00,SIAP DENGAN: CFO PENUH,"[""5.912540, 102.236130""]",,https://teduh.kpkt.gov.my/project-swasta/10086-1,"(1, '10086-1')"
12,1 0 0 8 6 - 1 - D E S A   W A D I   I M A N   P M B K,PERBADANAN MENTERI BESAR KELANTAN,10086,10086/10-2024/0415(R),16 Oct 2021,15 Oct 2024,0139810054,syazwan@pmbk.gov.my,www.pmbk.gov.my,"10086-1,",SIAP DENGAN: CFO PENUH,10086-1/12-2017/03010(P),08 Dec 2016,07 Dec 2017,"RM 38,000.00",0mps - 73mps,RUMAH TERES,2,0,0,70,40,2,"205,000.00","260,500.00",100.00,SIAP DENGAN: CFO PENUH,"[""5.912540, 102.236130""]",,https://teduh.kpkt.gov.my/project-swasta/10086-1,"(1, '10086-1')"
13,1 0 0 8 6 - 1 - D E S A   W A D I   I M A N   P M B K,PERBADANAN MENTERI BESAR KELANTAN,10086,10086/10-2024/0415(R),16 Oct 2021,15 Oct 2024,0139810054,syazwan@pmbk.gov.my,www.pmbk.gov.my,"10086-1,",SIAP DENGAN: CFO PENUH,10086-1/12-2017/03010(P),08 Dec 2016,07 Dec 2017,"RM 38,000.00",0mps - 73mps,RUMAH TERES,2,0,0,70,39,1,"126,500.00","147,000.00",100.00,SIAP DENGAN: CFO PENUH,"[""5.912540, 102.236130""]",,https://teduh.kpkt.gov.my/project-swasta/10086-1,"(1, '10086-1')"
14,1 0 0 8 6 - 1 - D E S A   W A D I   I M A N   P M B K,PERBADANAN MENTERI BESAR KELANTAN,10086,10086/10-2024/0415(R),16 Oct 2021,15 Oct 2024,0139810054,syazwan@pmbk.gov.my,www.pmbk.gov.my,"10086-1,",SIAP DENGAN: CFO PENUH,10086-1/12-2017/03010(P),08 Dec 2016,07 Dec 2017,"RM 38,000.00",0mps - 73mps,RUMAH TERES,1,0,0,73,54,2,"135,000.00","191,000.00",100.00,SIAP DENGAN: CFO PENUH,"[""5.912540, 102.236130""]",,https://teduh.kpkt.gov.my/project-swasta/10086-1,"(1, '10086-1')"
15,1 0 0 8 6 - 1 - D E S A   W A D I   I M A N   P M B K,PERBADANAN MENTERI BESAR KELANTAN,10086,10086/10-2024/0415(R),16 Oct 2021,15 Oct 2024,0139810054,syazwan@pmbk.gov.my,www.pmbk.gov.my,"10086-1,",SIAP DENGAN: CFO PENUH,10086-1/12-2017/03010(P),08 Dec 2016,07 Dec 2017,"RM 38,000.00",0mps - 73mps,RUMAH TERES,1,0,0,0,8,0,"79,500.00","101,500.00",100.00,SIAP DENGAN: CFO PENUH,"[""5.912540, 102.236130""]",,https://teduh.kpkt.gov.my/project-swasta/10086-1,"(1, '10086-1')"
16,1 0 0 8 6 - 1 - D E S A   W A D I   I M A N   P M B K,PERBADANAN MENTERI BESAR KELANTAN,10086,10086/10-2024/0415(R),16 Oct 2021,15 Oct 2024,0139810054,syazwan@pmbk.gov.my,www.pmbk.gov.my,"10086-1,",SIAP DENGAN: CFO PENUH,10086-1/12-2017/03010(P),08 Dec 2016,07 Dec 2017,"RM 38,000.00",0mps - 73mps,RUMAH TERES,1,0,0,63,128,43,"38,000.00","53,000.00",100.00,SIAP DENGAN: CFO PENUH,"[""5.912540, 102.236130""]",,https://teduh.kpkt.gov.my/project-swasta/10086-1,"(1, '10086-1')"
17,1 0 0 8 6 - 1 - D E S A   W A D I   I M A N   P M B K,PERBADANAN MENTERI BESAR KELANTAN,10086,10086/10-2024/0415(R),16 Oct 2021,15 Oct 2024,0139810054,syazwan@pmbk.gov.my,www.pmbk.gov.my,"10086-1,",SIAP DENGAN: CFO PENUH,10086-1/12-2017/03010(P),08 Dec 2016,07 Dec 2017,"RM 38,000.00",0mps - 73mps,RUMAH TERES,2,0,0,0,11,0,"115,000.00","139,500.00",100.00,SIAP DENGAN: CFO PENUH,"[""5.912540, 102.236130""]",,https://teduh.kpkt.gov.my/project-swasta/10086-1,"(1, '10086-1')"
18,1 0 0 8 6 - 2 - D E S A   W A D I   I M A N   2,PERBADANAN MENTERI BESAR KELANTAN,10086,10086/10-2024/0415(R),16 Oct 2021,15 Oct 2024,0139810054,syazwan@pmbk.gov.my,www.pmbk.gov.my,"10086-2,",SIAP DENGAN: CCC PENUH,10086-2/07-2020/0635(P),17 Jul 2018,16 Jul 2020,"RM 283,000.00",97mps - 177mps,RUMAH SESEBUAH,1,0,0,177,4,-4,"451,000.00","459,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""5.913174, 102.238188""]",,https://teduh.kpkt.gov.my/project-swasta/10086-2,"(2, '10086-2')"
19,1 0 0 8 6 - 2 - D E S A   W A D I   I M A N   2,PERBADANAN MENTERI BESAR KELANTAN,10086,10086/10-2024/0415(R),16 Oct 2021,15 Oct 2024,0139810054,syazwan@pmbk.gov.my,www.pmbk.gov.my,"10086-2,",SIAP DENGAN: CCC PENUH,10086-2/07-2020/0635(P),17 Jul 2018,16 Jul 2020,"RM 283,000.00",97mps - 177mps,RUMAH BERKEMBAR,1,0,0,139,4,-4,"352,000.00","368,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""5.913174, 102.238188""]",,https://teduh.kpkt.gov.my/project-swasta/10086-2,"(2, '10086-2')"
20,1 0 0 8 6 - 2 - D E S A   W A D I   I M A N   2,PERBADANAN MENTERI BESAR KELANTAN,10086,10086/10-2024/0415(R),16 Oct 2021,15 Oct 2024,0139810054,syazwan@pmbk.gov.my,www.pmbk.gov.my,"10086-2,",SIAP DENGAN: CCC PENUH,10086-2/07-2020/0635(P),17 Jul 2018,16 Jul 2020,"RM 283,000.00",97mps - 177mps,RUMAH BERKEMBAR,1,0,0,97,4,-4,"283,000.00","297,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""5.913174, 102.238188""]",,https://teduh.kpkt.gov.my/project-swasta/10086-2,"(2, '10086-2')"
21,1 0 0 8 6 - 3 - W A D I   I M A N   P M B K   I I,PERBADANAN MENTERI BESAR KELANTAN,10086,10086/10-2024/0415(R),16 Oct 2021,15 Oct 2024,0139810054,syazwan@pmbk.gov.my,www.pmbk.gov.my,"10086-3,",SIAP DENGAN: CCC PENUH,10086-3/10-2022/0468(R)-(L),16 Oct 2021,15 Oct 2022,"RM 295,000.00",130mps - 163mps,RUMAH BERKEMBAR,1,0,0,130,2,0,"295,000.00","302,500.00",100.00,SIAP DENGAN: CCC PENUH,"[""5.831619, 102.121653""]",,https://teduh.kpkt.gov.my/project-swasta/10086-3,"(3, '10086-3')"
22,1 0 0 8 6 - 3 - W A D I   I M A N   P M B K   I I,PERBADANAN MENTERI BESAR KELANTAN,10086,10086/10-2024/0415(R),16 Oct 2021,15 Oct 2024,0139810054,syazwan@pmbk.gov.my,www.pmbk.gov.my,"10086-3,",SIAP DENGAN: CCC PENUH,10086-3/10-2022/0468(R)-(L),16 Oct 2021,15 Oct 2022,"RM 295,000.00",130mps - 163mps,RUMAH SESEBUAH,1,4,4,163,12,12,"428,500.00","430,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""5.831619, 102.121653""]",,https://teduh.kpkt.gov.my/project-swasta/10086-3,"(3, '10086-3')"
