,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,1 8 9 0 - 6 - T A M A N   S U B A N G   M E W A H,DERGAHAYU SDN. BHD.,1890,1890/04-2025/0328(R),12 Apr 2022,20 Apr 2025,-,-,-,"1890-6,",SIAP DENGAN: CFO PENUH,1890-6/2871/2006(12),22 Dec 2005,21 Dec 2006,"RM 353,888.00",0mps,2,0,0,0,75,75,"353,888.00","757,888.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/1890-6,"1, 37, 0"
1,1 8 9 0 - 6 - T A M A N   S U B A N G   M E W A H,DERGAHAYU SDN. BHD.,1890,1890/04-2025/0328(R),12 Apr 2022,20 Apr 2025,-,-,-,"1890-6,",SIAP DENGAN: CFO PENUH,1890-6/2871/2006(12),22 Dec 2005,21 Dec 2006,"RM 353,888.00",0mps,2.5,0,0,0,7,7,"488,888.00","886,888.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/1890-6,"1, 37, 0"
2,1 8 9 0 - 6 - T A M A N   S U B A N G   M E W A H,DERGAHAYU SDN. BHD.,1890,1890/04-2025/0328(R),12 Apr 2022,20 Apr 2025,-,-,-,"1890-6,",SIAP DENGAN: CFO PENUH,1890-6/2871/2006(12),22 Dec 2005,21 Dec 2006,"RM 353,888.00",0mps,2.5,0,0,0,62,62,"488,888.00","886,888.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/1890-6,"1, 37, 0"
3,1 8 9 0 - 7 - T A M A N   S U B A N G   M E W A H,DERGAHAYU SDN. BHD.,1890,1890/04-2025/0328(R),12 Apr 2022,20 Apr 2025,-,-,-,"1890-7,",SIAP DENGAN: CCC PENUH,1890-7/01-2015/0815(P),28 Jan 2014,27 Jan 2015,"RM 851,888.00",0mps - 412mps,2,0,0,412,4,2,"945,888.00","1,175,888.00",100.00,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/1890-7,"2, 37, 0"
4,1 8 9 0 - 7 - T A M A N   S U B A N G   M E W A H,DERGAHAYU SDN. BHD.,1890,1890/04-2025/0328(R),12 Apr 2022,20 Apr 2025,-,-,-,"1890-7,",SIAP DENGAN: CCC PENUH,1890-7/01-2015/0815(P),28 Jan 2014,27 Jan 2015,"RM 851,888.00",0mps - 412mps,2,0,0,0,22,1,"851,888.00","1,208,888.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/1890-7,"2, 37, 0"
5,1 8 9 0 - 7 - T A M A N   S U B A N G   M E W A H,DERGAHAYU SDN. BHD.,1890,1890/04-2025/0328(R),12 Apr 2022,20 Apr 2025,-,-,-,"1890-7,",SIAP DENGAN: CCC PENUH,1890-7/01-2015/0815(P),28 Jan 2014,27 Jan 2015,"RM 851,888.00",0mps - 412mps,2,0,0,0,2,1,"851,888.00","1,208,888.00",100.00,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/1890-7,"2, 37, 0"
6,1 8 9 0 - 7 - T A M A N   S U B A N G   M E W A H,DERGAHAYU SDN. BHD.,1890,1890/04-2025/0328(R),12 Apr 2022,20 Apr 2025,-,-,-,"1890-7,",SIAP DENGAN: CCC PENUH,1890-7/01-2015/0815(P),28 Jan 2014,27 Jan 2015,"RM 851,888.00",0mps - 412mps,2,0,0,0,8,0,"945,888.00","1,175,888.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/1890-7,"2, 37, 0"
7,1 8 9 0 - 8 - T A M A N   B U K I T   T E R A T A I,DERGAHAYU SDN. BHD.,1890,1890/04-2025/0328(R),12 Apr 2022,20 Apr 2025,-,-,-,"1890-8,",SIAP DENGAN: CFO PENUH,1890-8/01-2015/0887(P),18 Jan 2014,17 Jan 2015,"RM 198,333.00",79mps,11,0,0,79,90,0,"198,333.00","266,656.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/1890-8,"3, 37, 0"
8,"1 8 9 0 - 9 - U S J   1 ,   S U B A N G",DERGAHAYU SDN. BHD.,1890,1890/04-2025/0328(R),12 Apr 2022,20 Apr 2025,-,-,-,"1890-9,",SIAP DENGAN: CCC PENUH,1890-9/10-2019/02722(P),12 Oct 2018,11 Oct 2019,"RM 431,000.00",60mps,29,0,0,60,447,24,"431,000.00","895,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""3.023500, 101.360700""]",,https://teduh.kpkt.gov.my/project-swasta/1890-9,"4, 37, 0"
9,1 9 5 6 - 1 - T A M A N   S E N A,KIM LONG CREDIT DEVELOPMENT SDN. BHD.,1956,1956/03-2026/1317(R),12 Mar 2022,11 Mar 2026,-,-,-,"1956-1,",-,1956/257/1991(03),20 Mar 1990,19 Mar 1991,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1956-1,"5, 37, 0"
