,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,5 7 0 0 - 9 - T A M A N   B I D A R A   P E R M A I,SERI JASMINE SDN.BHD.,5700,5700/03-2027/0554(R),15 Mar 2022,14 Mar 2027,-,serijasmines1@yahoo.com,-,"5700-9,",SIAP DENGAN: CCC PENUH,5700-9/03-2018/0190(P),16 Mar 2016,15 Mar 2018,"RM 407,000.00",161.34mps,RUMAH SESEBUAH,1,0,0,161,7,5,"407,000.00","545,000.00",100.0,SIAP DENGAN: CCC PENUH,"[""2.327903, 102.084269""]",,https://teduh.kpkt.gov.my/project-swasta/5700-9,"(1, '5700-9')"
1,5 7 0 7 - 1 - T A M A N   B A H A G I A   F A S A   3,DESA CERAH SDN. BHD.,5707,5707/10-1996/589,13 Oct 1993,12 Oct 1996,-,-,-,"5707-1,",-,5707/1115/1994(10),13 Oct 1993,12 Oct 1994,RM 0.00,0.00mps,-,-,-,-,-,-,-,-,-,-,-,,,https://teduh.kpkt.gov.my/project-swasta/5707-1,"(10, '5707-1')"
2,5 6 4 6 - 7 - T A M A N   P D   S U R I A,BALRIF SDN. BHD.,5646,5646/12-2027/0189(R),31 Dec 2022,30 Dec 2027,-,-,-,"5646-7,",-,5646-7/2365/2004(10),29 Oct 2003,28 Oct 2004,RM 0.00,0.00mps,-,-,-,-,-,-,-,-,-,-,-,,,https://teduh.kpkt.gov.my/project-swasta/5646-7,"(100, '5646-7')"
3,5 2 6 3 - 2 0 - T A M A N   P U T R I   K U L A I,BUNGA DEVELOPMENT SDN. BHD.,5263,5263-22/12-2017/03100(L),22 Dec 2016,21 Dec 2017,-,-,-,"5263-20,",SIAP DENGAN: CCC PENUH,5263-20/483/2013(03),21 Mar 2012,20 Mar 2013,"RM 202,500.00",0.00mps,RUMAH TERES,1,0,0,0,21,0,"202,500.00","263,825.00",100.0,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/5263-20,"(1000, '5263-20')"
4,5 2 6 3 - 2 0 - T A M A N   P U T R I   K U L A I,BUNGA DEVELOPMENT SDN. BHD.,5263,5263-22/12-2017/03100(L),22 Dec 2016,21 Dec 2017,-,-,-,"5263-20,",SIAP DENGAN: CCC PENUH,5263-20/483/2013(03),21 Mar 2012,20 Mar 2013,"RM 202,500.00",0.00mps,RUMAH TERES,2,0,0,0,94,9,"222,750.00","310,325.00",100.0,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/5263-20,"(1000, '5263-20')"
5,5 2 6 3 - 2 1 - T A M A N   P U T R I   K U L A I,BUNGA DEVELOPMENT SDN. BHD.,5263,5263-22/12-2017/03100(L),22 Dec 2016,21 Dec 2017,-,-,-,"5263-21,",SIAP DENGAN: CCC PENUH,5263-21/04-2016/01677(P),16 Apr 2015,15 Apr 2016,"RM 347,200.00",132.30mps,RUMAH TERES,1,0,0,132,74,0,"347,200.00","737,380.00",100.0,SIAP DENGAN: CCC PENUH,"[""1.648965, 103.581230""]",,https://teduh.kpkt.gov.my/project-swasta/5263-21,"(1001, '5263-21')"
6,5 2 6 3 - 2 2 - B U N G A   D E V E L O P M E N T   S D N   B H D,BUNGA DEVELOPMENT SDN. BHD.,5263,5263-22/12-2017/03100(L),22 Dec 2016,21 Dec 2017,-,-,-,"5263-22,",SIAP DENGAN: CCC PENUH,5263-22/10-2015/0778(P),26 Oct 2013,25 Oct 2015,"RM 310,500.00",110.09mps,RUMAH TERES,1,0,0,110,14,0,"310,500.00","528,038.00",100.0,SIAP DENGAN: CCC PENUH,"[""1.647379, 103.580298""]",,https://teduh.kpkt.gov.my/project-swasta/5263-22,"(1002, '5263-22')"
7,5 2 6 4 - 1 - T A M A N   R H U,SUPERSTAR DEVELOPMENT SDN. BHD.,5264,5264/08-1998/867,24 Aug 1996,23 Aug 1998,-,-,-,"5264-1,",-,5264/1421/1997(11),28 Nov 1996,27 Nov 1997,RM 0.00,0.00mps,-,-,-,-,-,-,-,-,-,-,-,,,https://teduh.kpkt.gov.my/project-swasta/5264-1,"(1003, '5264-1')"
8,5 2 6 6 - 1 - L O T   2 0 1 5,MAN HENG ENGINEERING SDN. BHD.,5266,5266/10-1994/878,14 Oct 1991,13 Oct 1994,-,-,-,"5266-1,",-,5266/1396/1993(11),24 Nov 1992,23 Nov 1993,RM 0.00,0.00mps,-,-,-,-,-,-,-,-,-,-,-,,,https://teduh.kpkt.gov.my/project-swasta/5266-1,"(1004, '5266-1')"
9,5 2 6 7 - 1 - T A M A N   T U A L A N G   I N D A H,KIM SWEE LOONG DEVELOPMENT SDN. BHD.,5267,5267-2/06-2008/721,08 Jun 2005,07 Jun 2008,09-2771888,ksldtip2011@hotmail.com,-,"5267-1,",-,5267-1/400/2004(03),12 Mar 2003,11 Mar 2004,RM 0.00,0.00mps,-,-,-,-,-,-,-,-,-,-,-,,,https://teduh.kpkt.gov.my/project-swasta/5267-1,"(1005, '5267-1')"
10,5 2 6 7 - 2 - T A M A N   T U A L A N G   I N D A H,KIM SWEE LOONG DEVELOPMENT SDN. BHD.,5267,5267-2/06-2008/721,08 Jun 2005,07 Jun 2008,09-2771888,ksldtip2011@hotmail.com,-,"5267-2,",SIAP DENGAN: CFO PENUH,5267-2/2022/2008(06),18 Sep 2007,07 Jun 2008,"RM 63,186.00",0.00mps,RUMAH TERES,1,0,0,0,115,115,"63,186.00","127,867.00",100.0,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/5267-2,"(1006, '5267-2')"
11,5 2 6 8 - 1 - T A M A N   P I N A N G   G A D I N G,GERAK TEGAS SDN. BHD.,5268,5268/01-2002/626,20 Jan 2000,19 Jan 2002,-,-,-,"5268-1,",-,5268/577/1997(05),17 May 1996,16 May 1997,RM 0.00,0.00mps,-,-,-,-,-,-,-,-,-,-,-,,,https://teduh.kpkt.gov.my/project-swasta/5268-1,"(1007, '5268-1')"
12,5 2 6 9 - 1 - P T   1 1 1   -   1 9 7,URBAN GREEN (M) SDN. BHD.,5269,5269/03-2001/282,21 Mar 1998,20 Mar 2001,-,-,-,"5269-1,",-,-,-,-,RM 0.00,0.00mps,-,-,-,-,-,-,-,-,-,-,-,,,https://teduh.kpkt.gov.my/project-swasta/5269-1,"(1008, '5269-1')"
13,5 2 6 9 - 2 - T A M A N   A N G K A S A,URBAN GREEN (M) SDN. BHD.,5269,5269/03-2001/282,21 Mar 1998,20 Mar 2001,-,-,-,"5269-2,",-,-,-,-,RM 0.00,0.00mps,-,-,-,-,-,-,-,-,-,-,-,,,https://teduh.kpkt.gov.my/project-swasta/5269-2,"(1009, '5269-2')"
14,5 6 4 6 - 8 - T A M A N   P D   D E L I M A,BALRIF SDN. BHD.,5646,5646/12-2027/0189(R),31 Dec 2022,30 Dec 2027,-,-,-,"5646-8,",SIAP DENGAN: CCC PENUH,5646-8/03-2016/01457(P),19 Mar 2015,18 Mar 2016,"RM 350,000.00",603.00mps,RUMAH TERES,2,0,0,603,26,7,"350,000.00","425,000.00",100.0,SIAP DENGAN: CCC PENUH,"[""2.548441, 101.804505""]",,https://teduh.kpkt.gov.my/project-swasta/5646-8,"(101, '5646-8')"
15,"5 2 6 9 - 3 - 2 1 9 8 ,   2 1 9 9   &   2 2 0 0",URBAN GREEN (M) SDN. BHD.,5269,5269/03-2001/282,21 Mar 1998,20 Mar 2001,-,-,-,"5269-3,",-,-,-,-,RM 0.00,0.00mps,-,-,-,-,-,-,-,-,-,-,-,,,https://teduh.kpkt.gov.my/project-swasta/5269-3,"(1010, '5269-3')"
16,5 2 6 9 - 4 - T A M A N   D E S A   M E L A N G   F A S A   I I,URBAN GREEN (M) SDN. BHD.,5269,5269/03-2001/282,21 Mar 1998,20 Mar 2001,-,-,-,"5269-4,",-,5269/843/2000(06),16 Jun 1999,15 Jun 2000,RM 0.00,0.00mps,-,-,-,-,-,-,-,-,-,-,-,,,https://teduh.kpkt.gov.my/project-swasta/5269-4,"(1011, '5269-4')"
17,5 2 7 0 - 1 - M E N A R A   K U D A   L A R I - P E N A N G .,EVER NOBLE SDN. BHD,5270,5270/10-2000/900,22 Oct 1998,21 Oct 2000,03-7553388,-,-,"5270-1,",-,5270/1520/2001(09),06 Sep 2000,05 Sep 2001,RM 0.00,0.00mps,-,-,-,-,-,-,-,-,-,-,-,,,https://teduh.kpkt.gov.my/project-swasta/5270-1,"(1012, '5270-1')"
18,5 2 7 0 - 2 - T A M A N   B E N D A H A R I,EVER NOBLE SDN. BHD,5270,5270/10-2000/900,22 Oct 1998,21 Oct 2000,03-7553388,-,-,"5270-2,",-,-,-,-,RM 0.00,0.00mps,-,-,-,-,-,-,-,-,-,-,-,,,https://teduh.kpkt.gov.my/project-swasta/5270-2,"(1013, '5270-2')"
19,5 2 7 1 - 1 - T A M A N   W I S M A   M A J U,WISMA MAJU DEVELOPMENT SDN. BHD.,5271,5271/10-1994/881,14 Oct 1991,13 Oct 1994,-,-,-,"5271-1,",-,5271/920/1994(08),26 Aug 1993,25 Aug 1994,RM 0.00,0.00mps,-,-,-,-,-,-,-,-,-,-,-,,,https://teduh.kpkt.gov.my/project-swasta/5271-1,"(1014, '5271-1')"
20,5 2 7 3 - 1 - S E N T U L   P E R D A N A,GKM WILAYAH PRESCON SDN. BHD.,5273,5273/08-2001/875,24 Aug 1996,23 Aug 2001,03-4435986,-,-,"5273-1,",-,5273/910/1999(07),03 Jul 1998,02 Jul 1999,RM 0.00,0.00mps,-,-,-,-,-,-,-,-,-,-,-,,,https://teduh.kpkt.gov.my/project-swasta/5273-1,"(1015, '5273-1')"
