,Johor
0,10-2
1,10-3
2,10-4
3,10-5
4,10-6
5,10-7
6,10-8
7,10116-3
8,10117-1
9,10117-2
10,10117-3
11,10117-4
12,10117-5
13,10117-6
14,10123-2
15,10123-3
16,10123-5
17,10123-6
18,10213-1
19,10213-10
20,10213-11
21,10213-12
22,10213-13
23,10213-14
24,10213-15
25,10213-16
26,10213-17
27,10213-18
28,10213-19
29,10213-2
30,10213-20
31,10213-21
32,10213-22
33,10213-23
34,10213-24
35,10213-25
36,10213-26
37,10213-27
38,10213-28
39,10213-29
40,10213-3
41,10213-30
42,10213-31
43,10213-32
44,10213-33
45,10213-34
46,10213-35
47,10213-36
48,10213-37
49,10213-38
50,10213-39
51,10213-4
52,10213-40
53,10213-41
54,10213-42
55,10213-43
56,10213-44
57,10213-45
58,10213-46
59,10213-47
60,10213-49
61,10213-5
62,10213-50
63,10213-6
64,10213-7
65,10213-8
66,10213-9
67,10241-1
68,10241-2
69,10241-3
70,10247-1
71,10247-2
72,10247-3
73,10247-4
74,10247-5
75,10268-1
76,10268-2
77,10268-3
78,10268-4
79,10268-5
80,10268-6
81,10268-7
82,10268-8
83,10268-9
84,10279-1
85,10279-4
86,10316-1
87,10316-10
88,10316-11
89,10316-12
90,10316-13
91,10316-14
92,10316-15
93,10316-16
94,10316-17
95,10316-18
96,10316-19
97,10316-2
98,10316-20
99,10316-21
100,10316-22
101,10316-23
102,10316-24
103,10316-25
104,10316-26
105,10316-27
106,10316-28
107,10316-29
108,10316-3
109,10316-30
110,10316-31
111,10316-32
112,10316-33
113,10316-34
114,10316-35
115,10316-36
116,10316-37
117,10316-38
118,10316-39
119,10316-4
120,10316-40
121,10316-41
122,10316-42
123,10316-43
124,10316-44
125,10316-45
126,10316-46
127,10316-47
128,10316-48
129,10316-5
130,10316-6
131,10316-7
132,10316-8
133,10316-9
134,10351-1
135,10382-1
136,10382-10
137,10382-2
138,10382-3
139,10382-4
140,10382-5
141,10382-6
142,10382-7
143,10382-8
144,10382-9
145,10389-1
146,10442-1
147,10442-2
148,10457-1
149,10463-1
150,10463-2
151,10463-3
152,10549-1
153,10555-1
154,10555-10
155,10555-11
156,10555-12
157,10555-13
158,10555-2
159,10555-3
160,10555-4
161,10555-5
162,10555-6
163,10555-7
164,10555-8
165,10555-9
166,10609-1
167,10609-10
168,10609-11
169,10609-12
170,10609-13
171,10609-14
172,10609-15
173,10609-16
174,10609-17
175,10609-18
176,10609-19
177,10609-2
178,10609-20
179,10609-21
180,10609-22
181,10609-23
182,10609-24
183,10609-25
184,10609-26
185,10609-27
186,10609-28
187,10609-29
188,10609-3
189,10609-30
190,10609-31
191,10609-32
192,10609-33
193,10609-34
194,10609-35
195,10609-36
196,10609-37
197,10609-39
198,10609-4
199,10609-40
200,10609-5
201,10609-6
202,10609-7
203,10609-8
204,10609-9
205,10610-1
206,10610-10
207,10610-11
208,10610-12
209,10610-13
210,10610-14
211,10610-2
212,10610-3
213,10610-4
214,10610-5
215,10610-6
216,10610-7
217,10610-8
218,10610-9
219,10611-1
220,10611-10
221,10611-11
222,10611-12
223,10611-13
224,10611-14
225,10611-15
226,10611-19
227,10611-2
228,10611-21
229,10611-3
230,10611-4
231,10611-5
232,10611-6
233,10611-7
234,10611-8
235,10611-9
236,10624-1
237,10624-2
238,10638-1
239,10638-2
240,10638-3
241,10642-1
242,10642-2
243,10642-3
244,10642-4
245,10642-5
246,10642-6
247,10642-7
248,10642-8
249,10656-1
250,10688-2
251,10688-3
252,10713-1
253,10713-10
254,10713-11
255,10713-12
256,10713-13
257,10713-14
258,10713-15
259,10713-16
260,10713-2
261,10713-3
262,10713-4
263,10713-5
264,10713-6
265,10713-7
266,10713-8
267,10713-9
268,10760-10
269,10760-3
270,10760-4
271,10760-7
272,10760-9
273,10774-1
274,10774-2
275,10774-3
276,10795-2
277,10801-1
278,10838-1
279,10838-10
280,10838-11
281,10838-12
282,10838-2
283,10838-3
284,10838-4
285,10838-5
286,10838-6
287,10838-7
288,10838-8
289,10838-9
290,10843-1
291,10886-1
292,10903-1
293,10903-2
294,10903-3
295,10903-4
296,10919-1
297,10919-10
298,10919-2
299,10919-3
300,10919-4
301,10919-5
302,10919-6
303,10919-7
304,10919-8
305,10919-9
306,10949-1
307,10949-2
308,10949-3
309,10949-4
310,10949-5
311,10949-6
312,10955-1
313,10955-2
314,10973-1
315,10973-2
316,10973-3
317,11018-1
318,11018-2
319,11022-1
320,11022-3
321,11024-1
322,11027-1
323,11027-2
324,11027-3
325,11115-1
326,11115-2
327,11115-3
328,11115-4
329,11115-5
330,11123-1
331,11150-1
332,11150-2
333,11150-3
334,11150-4
335,11150-5
336,11150-6
337,11150-7
338,11161-1
339,11161-2
340,11161-3
341,11170-1
342,11170-2
343,11171-1
344,11171-2
345,11171-3
346,11171-4
347,11171-5
348,11171-6
349,11171-7
350,11188-1
351,11188-2
352,11214-1
353,11237-1
354,11237-2
355,11237-3
356,11238-1
357,11242-1
358,11270-1
359,11273-1
