,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,1 9 2 6 2 - 1 - Q U E E N S   R E S I D E N C E S   @   Q U E E N S   W A T E R F R O N T,IDEAL GIM VENTURE SDN. BHD.,19262,19262/04-2027/0070(A),14 Mar 2022,17 Apr 2027,-,-,-,"19262-1,",SIAP DENGAN: CCC PENUH,19262-1/01-2022/01105(P),27 Jan 2021,26 Jan 2022,"RM 761,200.00",88.24mps,RUMAH PANGSA/KONDO,14,0,0,88,250,70,"892,080.00","2,670,600.00",100.00,SIAP DENGAN: CCC PENUH,"[""5.332300, 100.309000""]",,https://teduh.kpkt.gov.my/project-swasta/19262-1,"(98, '19262-1')"
1,1 9 2 6 2 - 1 - Q U E E N S   R E S I D E N C E S   @   Q U E E N S   W A T E R F R O N T,IDEAL GIM VENTURE SDN. BHD.,19262,19262/04-2027/0070(A),14 Mar 2022,17 Apr 2027,-,-,-,"19262-1,",SIAP DENGAN: CCC PENUH,19262-1/01-2022/01105(P),27 Jan 2021,26 Jan 2022,"RM 761,200.00",88.24mps,RUMAH PANGSA/KONDO,14,0,0,88,250,72,"761,200.00","2,636,800.00",100.00,SIAP DENGAN: CCC PENUH,"[""5.332300, 100.309000""]",,https://teduh.kpkt.gov.my/project-swasta/19262-1,"(98, '19262-1')"
2,1 9 2 6 2 - 2 - Q U E E N S   R E S I D E N C E S   Q 2,IDEAL GIM VENTURE SDN. BHD.,19262,19262/04-2027/0070(A),14 Mar 2022,17 Apr 2027,-,-,-,"19262-2,",SIAP DENGAN: CCC PENUH,19262-2/04-2023/0029(R)-(S),18 Apr 2022,17 Apr 2023,"RM 663,200.00",88.25mps,RUMAH PANGSA/KONDO,24,0,0,88,450,127,"663,200.00","2,810,600.00",100.00,SIAP DENGAN: CCC PENUH,"[""5.333549, 100.310056""]",,https://teduh.kpkt.gov.my/project-swasta/19262-2,"(99, '19262-2')"
3,1 9 2 7 9 - 4 - T A M A N   I N D E R A   S E M P U R N A   3   ( T E R E S   B ),H.A. PROPERTIES SDN. BHD.,19279,19279/02-2024/0112(A),17 Feb 2022,16 Feb 2024,-,-,-,"19279-4,",SIAP DENGAN: CCC PENUH,19279-4/05-2022/02026(P),24 May 2021,23 May 2022,"RM 169,800.00",72.24mps,RUMAH TERES,1,0,0,72,255,5,"169,800.00","242,800.00",100.00,SIAP DENGAN: CCC PENUH,"[""3.726702, 103.280186""]",,https://teduh.kpkt.gov.my/project-swasta/19279-4,"(73, '19279-4')"
4,1 9 2 7 9 - 5 - P E R U M A H A N   M A K M U R   S E R I   D A M A I   J A Y A   1,H.A. PROPERTIES SDN. BHD.,19279,19279/02-2024/0112(A),17 Feb 2022,16 Feb 2024,-,-,-,"19279-5,",SAKIT,19279-5/03-2024/0677(R)-(L),13 Mar 2023,12 Mar 2024,"RM 188,000.00",74.00mps,RUMAH TERES,1,3,2,74,88,23,"188,000.00","286,800.00",21.88,SAKIT,"[""3.751497, 103.246547""]",,https://teduh.kpkt.gov.my/project-swasta/19279-5,"(74, '19279-5')"
5,1 9 2 7 9 - 6 - P E R U M A H A N   M A K M U R   I N D E R A P U R A   J A Y A,H.A. PROPERTIES SDN. BHD.,19279,19279/02-2024/0112(A),17 Feb 2022,16 Feb 2024,-,-,-,"19279-6,",BERJALAN LANCAR,19279-6/02-2024/0112(P),17 Feb 2022,16 Feb 2024,"RM 238,000.00",0.00mps,RUMAH TERES,1,0,0,0,122,122,"238,000.00","316,000.00",0.86,BERJALAN LANCAR,"[""3.725594, 103.274098""]",,https://teduh.kpkt.gov.my/project-swasta/19279-6,"(75, '19279-6')"
6,1 9 2 8 1 - 1 - M E D I N I   M A R I N A   S D N .   B H D .,MEDINI MARINA SDN. BHD.,19281,19281/02-2026/0374(R),08 Feb 2023,07 Feb 2026,-,-,-,"19281-1,",SAKIT,19281-1/02-2024/0641(R)-(L),08 Feb 2023,07 Feb 2024,"RM 268,000.00",83.80mps - 98.10mps,RUMAH TERES,1,0,0,84,22,4,"268,000.00","293,000.00",80.91,SAKIT,"[""2.184269, 103.190834""]",,https://teduh.kpkt.gov.my/project-swasta/19281-1,"(76, '19281-1')"
7,1 9 2 8 1 - 1 - M E D I N I   M A R I N A   S D N .   B H D .,MEDINI MARINA SDN. BHD.,19281,19281/02-2026/0374(R),08 Feb 2023,07 Feb 2026,-,-,-,"19281-1,",SAKIT,19281-1/02-2024/0641(R)-(L),08 Feb 2023,07 Feb 2024,"RM 268,000.00",83.80mps - 98.10mps,RUMAH TERES,1,0,0,98,24,18,"308,000.00","371,610.00",78.75,BERJALAN LANCAR,"[""2.184269, 103.190834""]",,https://teduh.kpkt.gov.my/project-swasta/19281-1,"(76, '19281-1')"
8,1 9 2 8 2 - 1 - T A M A N   B E N T A R A,MEGA BAHAGIA SDN. BHD.,19282,19282/05-2028/0710(A),21 May 2023,20 May 2028,-,-,-,"19282-1,",SIAP DENGAN: CCC PENUH,19282-1/01-2020/79(P),23 Jan 2018,22 Jan 2020,"RM 423,600.00",114.71mps,RUMAH TERES,1,0,0,115,28,0,"423,600.00","527,300.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.930912, 101.501451""]",,https://teduh.kpkt.gov.my/project-swasta/19282-1,"(77, '19282-1')"
9,1 9 2 8 2 - 2 - T A M A N   B E N T A R A,MEGA BAHAGIA SDN. BHD.,19282,19282/05-2028/0710(A),21 May 2023,20 May 2028,-,-,-,"19282-2,",SIAP DENGAN: CCC PENUH,19282-2/06-2021/0554(P),28 Jun 2019,27 Jun 2021,"RM 418,000.00",114.73mps,RUMAH TERES,1,0,0,115,28,0,"418,000.00","604,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""2.930747, 101.501691""]",,https://teduh.kpkt.gov.my/project-swasta/19282-2,"(78, '19282-2')"
