,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,9 5 6 3 - 8 - N U W A T A   S D N .   B H D .,NUWATA SDN. BHD.,9563,9563/06-2025/0429(R),17 May 2022,09 Jun 2025,-,-,-,"9563-8,",SIAP DENGAN: CCC PENUH,9563-8/04-2019/01705(P),09 Apr 2018,08 Apr 2019,"RM 988,000.00","1,409.00mps",RUMAH PANGSA/KONDO,26,0,0,"1,409",110,20,"988,000.00","2,288,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""5.367448, 100.301659""]",,https://teduh.kpkt.gov.my/project-swasta/9563-8,"(280, '9563-8')"
1,9 5 6 3 - 8 - N U W A T A   S D N .   B H D .,NUWATA SDN. BHD.,9563,9563/06-2025/0429(R),17 May 2022,09 Jun 2025,-,-,-,"9563-8,",SIAP DENGAN: CCC PENUH,9563-8/04-2019/01705(P),09 Apr 2018,08 Apr 2019,"RM 988,000.00","1,409.00mps",RUMAH PANGSA/KONDO,26,0,0,"1,409",110,82,"988,000.00","2,288,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""5.367448, 100.301659""]",,https://teduh.kpkt.gov.my/project-swasta/9563-8,"(280, '9563-8')"
2,9 5 6 4 - 1 - T A M A N   F L O R A   U T A M A,CAMELLIA VIEW SDN. BHD.,9564,9564-2/03-2014/1083,27 Mar 2012,26 Mar 2014,07-4327899,CAMELLIAVIEW@YAHOO.COM.MY,-,"9564-1,",SIAP DENGAN: CFO PENUH,9564-1/936/2008(03),01 Jun 2007,24 Mar 2008,"RM 295,000.00",0.00mps,RUMAH TERES,2,0,0,0,32,32,"295,000.00","359,030.00",95.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/9564-1,"(281, '9564-1')"
3,9 5 6 4 - 2 - T A M A N   F L O R A   U T A M A     ( F A S A   2 ),CAMELLIA VIEW SDN. BHD.,9564,9564-2/03-2014/1083,27 Mar 2012,26 Mar 2014,07-4327899,CAMELLIAVIEW@YAHOO.COM.MY,-,"9564-2,",SIAP DENGAN: CFO PENUH,9564-2/1838/2012(09),14 Sep 2011,03 Sep 2012,"RM 250,750.00",0.00mps,RUMAH TERES,2,0,0,0,9,0,"250,750.00","355,845.00",100.00,SIAP DENGAN: CFO PENUH,"[""1.865140, 102.947590""]",,https://teduh.kpkt.gov.my/project-swasta/9564-2,"(282, '9564-2')"
4,9 5 6 5 - 1 - T A M A N   S E R I   A U S T I N,DYNASTY VIEW SDN. BHD.,9565,9565/10-2025/1137(A),06 Oct 2022,05 Oct 2025,073541111,dvsb@umland.com.my,http://www.umland.com.my,"9565-1,",SIAP DENGAN: CFO PENUH,9565-1/572/2007(03),22 Mar 2006,21 Mar 2007,"RM 149,800.00",0.00mps,RUMAH TERES,1,0,0,0,153,153,"149,800.00","276,200.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/9565-1,"(283, '9565-1')"
5,9 5 6 5 - 1 0 - D Y N A S T Y   V I E W   S D N .   B H D .,DYNASTY VIEW SDN. BHD.,9565,9565/10-2025/1137(A),06 Oct 2022,05 Oct 2025,073541111,dvsb@umland.com.my,http://www.umland.com.my,"9565-10,",SIAP DENGAN: CCC PENUH,9565-10/1470/2012(07),12 Jul 2011,11 Jul 2012,"RM 461,000.00",0.00mps,RUMAH TERES,2,0,0,0,54,0,"462,250.00","607,250.00",100.00,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/9565-10,"(292, '9565-10')"
6,9 5 6 5 - 1 0 - D Y N A S T Y   V I E W   S D N .   B H D .,DYNASTY VIEW SDN. BHD.,9565,9565/10-2025/1137(A),06 Oct 2022,05 Oct 2025,073541111,dvsb@umland.com.my,http://www.umland.com.my,"9565-10,",SIAP DENGAN: CCC PENUH,9565-10/1470/2012(07),12 Jul 2011,11 Jul 2012,"RM 461,000.00",0.00mps,RUMAH TERES,2,0,0,0,44,0,"461,000.00","633,500.00",100.00,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/9565-10,"(292, '9565-10')"
7,9 5 6 5 - 1 0 - D Y N A S T Y   V I E W   S D N .   B H D .,DYNASTY VIEW SDN. BHD.,9565,9565/10-2025/1137(A),06 Oct 2022,05 Oct 2025,073541111,dvsb@umland.com.my,http://www.umland.com.my,"9565-10,",SIAP DENGAN: CCC PENUH,9565-10/1470/2012(07),12 Jul 2011,11 Jul 2012,"RM 461,000.00",0.00mps,RUMAH TERES,2,0,0,0,51,0,"463,500.00","638,500.00",100.00,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/9565-10,"(292, '9565-10')"
8,9 5 6 5 - 1 1 - D Y N A S T Y   V I E W   S D N .   B H D .,DYNASTY VIEW SDN. BHD.,9565,9565/10-2025/1137(A),06 Oct 2022,05 Oct 2025,073541111,dvsb@umland.com.my,http://www.umland.com.my,"9565-11,",SIAP DENGAN: CCC PENUH,9565-11/11-2014/01297(P),26 Nov 2013,25 Nov 2014,"RM 569,760.00",0.00mps,RUMAH KLUSTER,2,0,0,0,40,0,"573,360.00","696,960.00",100.00,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/9565-11,"(293, '9565-11')"
9,9 5 6 5 - 1 1 - D Y N A S T Y   V I E W   S D N .   B H D .,DYNASTY VIEW SDN. BHD.,9565,9565/10-2025/1137(A),06 Oct 2022,05 Oct 2025,073541111,dvsb@umland.com.my,http://www.umland.com.my,"9565-11,",SIAP DENGAN: CCC PENUH,9565-11/11-2014/01297(P),26 Nov 2013,25 Nov 2014,"RM 569,760.00",0.00mps,RUMAH KLUSTER,2,0,0,0,40,1,"569,760.00","689,760.00",100.00,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/9565-11,"(293, '9565-11')"
