,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,0,Location,Address,Link,Website Location,Page
0,1 0 - 7 - T A M A N   K E N A R I   I N D A H,SIA HER YAM REALTY SDN. BHD.,10,10/06-2028/0923(R),29-Jun-23,28-Jun-28,79311101,srg_jpn@shyg.com.my,-,"10-7,",SIAP DENGAN: CCC PENUH,10-7/11-2022/03392(A)-(L),25-Nov-21,24-Nov-22,"RM341,740.00",139mps - 145mps,,,,,,,,,,,,"[""2.487070, 102.839390""]",,https://teduh.kpkt.gov.my/project-swasta/10-7,1,2
1,1 0 - 8 - T A M A N   P E R L I N G,SIA HER YAM REALTY SDN. BHD.,10,10/06-2028/0923(R),29-Jun-23,28-Jun-28,79311101,srg_jpn@shyg.com.my,-,"10-8,",LEWAT,10-8/03-2024/0487(R)-(L),11-Mar-23,10-Mar-24,"RM391,200.00",197mps - 248mps,,,,,,,,,,,,"[""2.548280, 102.959194""]",,https://teduh.kpkt.gov.my/project-swasta/10-8,1,3
2,1 0 - 9 - T A M A N   D E S A,SIA HER YAM REALTY SDN. BHD.,10,10/06-2028/0923(R),29-Jun-23,28-Jun-28,79311101,srg_jpn@shyg.com.my,-,"10-9,",BERJALAN LANCAR,10-9/06-2024/1211(R)-(L),29-Jun-23,28-Jun-24,"RM325,000.00",108mps - 209mps,,,,,,,,,,,,"[""2.033898, 103.056228""]",,https://teduh.kpkt.gov.my/project-swasta/10-9,1,4
3,1 0 1 2 - 1 - T A M A N   S U R I A,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15-Feb-22,14-Feb-25,-,senghong_99@yahoo.com.my,-,"1012-1,",-,1012/938/1997(08),10-Aug-96,9-Aug-97,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1012-1,1,5
4,1 0 1 2 - 1 0 - T A M A N   R E P O H   J A Y A,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15-Feb-22,14-Feb-25,-,senghong_99@yahoo.com.my,-,"1012-10,",-,1012/932/2002(06),2-Jun-01,1-Jun-02,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1012-10,1,6
5,1 0 1 2 - 1 1 - T A M A N   S E J A H T E R A,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15-Feb-22,14-Feb-25,-,senghong_99@yahoo.com.my,-,"1012-11,",SIAP DENGAN: CFO PENUH,1012-11/1868/2007(09),13-Sep-06,12-Sep-07,"RM34,900.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1012-11,1,7
6,1 0 1 2 - 1 2 - T A M A N   K E M P A S,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15-Feb-22,14-Feb-25,-,senghong_99@yahoo.com.my,-,"1012-12,",SIAP DENGAN: CFO PENUH,1012-12/841/2010(11),4-May-10,3-Nov-10,"RM35,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1012-12,1,8
7,1 0 1 2 - 1 3 - S E N G   H O N G   E N T E R P R I S E   S D N   B H D,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15-Feb-22,14-Feb-25,-,senghong_99@yahoo.com.my,-,"1012-13,",SIAP DENGAN: CCC PENUH,1012-13/08-2017/02360(P),2-Aug-16,1-Aug-17,"RM45,000.00","0mps - 1,200mps",,,,,,,,,,,,"[""5.057103, 100.820033""]",,https://teduh.kpkt.gov.my/project-swasta/1012-13,1,9
8,1 0 1 2 - 1 4 - T A M A N   U T A R A   J A Y A   J E J A W I,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15-Feb-22,14-Feb-25,-,senghong_99@yahoo.com.my,-,"1012-14,",BERJALAN LANCAR,1012-14/12-2016/02759(P),25-Dec-15,24-Dec-16,"RM198,000.00",0mps,,,,,,,,,,,,"[""6.445515, 100.200231""]",,https://teduh.kpkt.gov.my/project-swasta/1012-14,1,10
9,1 0 1 2 - 1 5 - T A M A N   K E C H O R   I M P I A N,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15-Feb-22,14-Feb-25,-,senghong_99@yahoo.com.my,-,"1012-15,",SIAP DENGAN: CCC PENUH,1012-15/07-2021/02648(P),15-Jul-20,14-Jul-21,"RM280,448.00",268mps - 293mps,,,,,,,,,,,,"[""6.444900, 100.204800""]",,https://teduh.kpkt.gov.my/project-swasta/1012-15,1,11
10,1 0 1 2 - 1 6 - T A M A N   K U R A U   S E N T O S A,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15-Feb-22,14-Feb-25,-,senghong_99@yahoo.com.my,-,"1012-16,",SIAP DENGAN: CCC PENUH,1012-16/02-2024/0335(R)-(L),15-Feb-23,14-Feb-24,"RM190,000.00","111mps - 1,540mps",,,,,,,,,,,,"[""4.967000, 100.800000""]",,https://teduh.kpkt.gov.my/project-swasta/1012-16,1,12
11,1 0 1 2 - 2 - T A M A N   S E R I   S E M A R A K,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15-Feb-22,14-Feb-25,-,senghong_99@yahoo.com.my,-,"1012-2,",-,1012/812/1993(07),4-Jul-92,3-Jul-93,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1012-2,1,13
12,1 0 1 2 - 3 - T A M A N   B E R S A T U,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15-Feb-22,14-Feb-25,-,senghong_99@yahoo.com.my,-,"1012-3,",-,1012/11/1998(01),2-Jan-97,1-Jan-98,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1012-3,1,14
13,1 0 1 2 - 4 - T A M A N   S U N G A I   K E R A N G,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15-Feb-22,14-Feb-25,-,senghong_99@yahoo.com.my,-,"1012-4,",-,1012/44/1990(01),20-Jan-89,19-Jan-90,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1012-4,1,15
14,1 0 1 2 - 5 - T A M A N   B E R S A T U,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15-Feb-22,14-Feb-25,-,senghong_99@yahoo.com.my,-,"1012-5,",-,1012/75/1993(01),22-Jan-92,21-Jan-93,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1012-5,1,16
15,1 0 1 2 - 6 - .,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15-Feb-22,14-Feb-25,-,senghong_99@yahoo.com.my,-,"1012-6,",-,1012/76/1993(01),22-Jan-92,21-Jan-93,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1012-6,1,17
16,1 0 1 2 - 7 - P T   1 0 1 5   M U K I M   J I T R A,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15-Feb-22,14-Feb-25,-,senghong_99@yahoo.com.my,-,"1012-7,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1012-7,1,18
17,1 0 1 2 - 8 - T A M A N   S R I   T A N J O N G   S A T U,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15-Feb-22,14-Feb-25,-,senghong_99@yahoo.com.my,-,"1012-8,",-,1012/800/1999(06),12-Jun-98,11-Jun-99,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1012-8,1,19
18,1 0 1 2 - 9 - T M N . P E R P A D U A N   1 1   D A N   T A M A N   R E S T U,SENG HONG ENTERPRISE SDN. BHD.,1012,1012/02-2025/0010(R),15-Feb-22,14-Feb-25,-,senghong_99@yahoo.com.my,-,"1012-9,",-,1012-9/1705/2002(12),1-Aug-02,26-Dec-02,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1012-9,2,2
19,1 0 1 8 - 1 - T A M A N   D E S A   M E L O R,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-1,",-,1018/1076/1992(10),16-Oct-91,15-Oct-92,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1018-1,2,3
20,1 0 1 8 - 1 0 - T A M A N   S E R I   T E R U N T U M,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-10,",-,1018-10/2003/2004(09),15-Sep-03,14-Sep-04,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1018-10,2,4
21,1 0 1 8 - 1 1 - D E S A   B U K I T   U B I,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-11,",SIAP DENGAN: CFO PENUH,1018-11/177/2007(02),9-Mar-06,5-Feb-07,"RM143,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1018-11,2,5
22,1 0 1 8 - 1 2 - D E S A   B U K I T   B A Y   R O U T E,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-12,",SIAP DENGAN: CCC PENUH,1018-12/1057/2010(05),27-May-09,26-May-10,"RM238,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1018-12,2,6
23,1 0 1 8 - 1 3 - T A M A N   K A M P U N G   T E N G A H,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-13,",SIAP DENGAN: CCC PENUH,1018-13/1444/2010(07),16-Jul-09,15-Jul-10,"RM230,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1018-13,2,7
24,1 0 1 8 - 1 4 - T A M A N   S E R I   T E R U N T U M   2,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-14,",SIAP DENGAN: CCC PENUH,1018-14/1639/2011(08),24-Aug-10,23-Aug-11,"RM258,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1018-14,2,8
25,1 0 1 8 - 1 5 - T A M A N   S E R I   D A M A I   J A Y A,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-15,",SIAP DENGAN: CCC PENUH,1018-15/341/2013(02),16-Feb-12,15-Feb-13,"RM220,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1018-15,2,9
26,1 0 1 8 - 1 6 - T A M A N   S E R I   T E R U N T U M   3,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-16,",SIAP DENGAN: CCC PENUH,1018-16/01-2015/0961(P),23-Jan-14,22-Jan-15,"RM326,000.00",159mps,,,,,,,,,,,,"[""3.478780, 103.187200""]",,https://teduh.kpkt.gov.my/project-swasta/1018-16,2,10
27,1 0 1 8 - 1 7 - P E R U M A H A N   S E R I   T E R U N T U M,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-17,",SIAP DENGAN: CCC PENUH,1018-17/07-2016/0713(P),19-Jul-14,18-Jul-16,"RM368,000.00",207mps,,,,,,,,,,,,"[""3.478780, 103.187200""]",,https://teduh.kpkt.gov.my/project-swasta/1018-17,2,11
28,1 0 1 8 - 1 8 - T A M A N   B U K I T   B A Y   R O U T E,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-18,",SIAP DENGAN: CCC PENUH,1018-18/03-2022/01269(P),21-Mar-21,20-Mar-22,"RM283,000.00",130mps - 217mps,,,,,,,,,,,,"[""3.810134, 103.314960""]",,https://teduh.kpkt.gov.my/project-swasta/1018-18,2,12
29,1 0 1 8 - 1 9 - T A M A N   B U K I T   B A Y   R O U T E   F A S A   2,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-19,",BERJALAN LANCAR,1018-19/04-2025/0395(N)-(L),4-Apr-23,3-Apr-25,"RM443,900.00",177mps - 255mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1018-19,2,13
30,1 0 1 8 - 2 - D E S A   B U N G A   R A Y A,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-2,",-,1018/1027/1991(10),23-Oct-90,22-Oct-91,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1018-2,2,14
31,1 0 1 8 - 3 - T A M A N   D E S A   A N G G E R I K,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-3,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1018-3,2,15
32,1 0 1 8 - 4 - T A M A N   S E T A L I   I N D A H,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-4,",-,1018/860/1994(08),14-Aug-93,13-Aug-94,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1018-4,2,16
33,1 0 1 8 - 5 - T A M A N   C A H A Y A,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-5,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1018-5,2,17
34,1 0 1 8 - 6 - T A M A N   D E S A   T E R A T A I,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-6,",-,1018/1202/1998(09),9-Sep-97,8-Sep-98,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1018-6,2,18
35,1 0 1 8 - 7 - T A M A N   S R I   S E N T U L,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-7,",-,1018/192/1999(02),5-Feb-98,4-Feb-99,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1018-7,2,19
36,1 0 1 8 - 8 - D E S A   C A H A Y A,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-8,",-,1018/386/1999(03),11-Mar-98,10-Mar-99,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1018-8,3,2
37,1 0 1 8 - 9 - T A M A N   D A H L I A,C.K.C. DEVELOPMENTS SDN. BHD.,1018,1018/03-2027/0137(A),21-Mar-22,20-Mar-27,6095134809,ckcdevelopments@gmail.com,-,"1018-9,",-,1018/1233/2002(07),5-Jul-01,4-Jul-02,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1018-9,3,3
38,1 0 7 1 - 1 - T A M A N   N I R W A N A,SRI SELTRA SDN. BHD.,1071,1071/09-2026/1152(R),1-Oct-23,30-Sep-26,-,-,-,"1071-1,",SIAP DENGAN: CCC PENUH,1071-1/08-2016/02319(P),17-Aug-15,16-Aug-16,"RM25,000.00",0mps,,,,,,,,,,,,"[""3.140702, 101.750215""]",,https://teduh.kpkt.gov.my/project-swasta/1071-1,3,4
39,1 0 7 1 - 2 - K E T A P A N G   V I L L A,SRI SELTRA SDN. BHD.,1071,1071/09-2026/1152(R),1-Oct-23,30-Sep-26,-,-,-,"1071-2,",SIAP DENGAN: CCC PENUH,1071-2/1136/2010(06),5-Jun-09,4-Jun-10,"RM174,695.00",0mps,,,,,,,,,,,,"[""3.145018, 101.751102""]",,https://teduh.kpkt.gov.my/project-swasta/1071-2,3,5
40,1 0 7 1 - 3 - C I T Y   G A R D E N     C O M M E R C I A L   C E N T R E,SRI SELTRA SDN. BHD.,1071,1071/09-2026/1152(R),1-Oct-23,30-Sep-26,-,-,-,"1071-3,",SIAP DENGAN: CCC PENUH,1071-3/11-2019/03102(P),7-Nov-18,6-Nov-19,"RM480,830.00",109mps,,,,,,,,,,,,"[""3.147459, 101.750471""]",,https://teduh.kpkt.gov.my/project-swasta/1071-3,3,6
41,1 0 7 1 - 4 - A L F A   B A N G S A R,SRI SELTRA SDN. BHD.,1071,1071/09-2026/1152(R),1-Oct-23,30-Sep-26,-,-,-,"1071-4,",BERJALAN LANCAR,1071-4/09-2024/1455(A)-(S),1-Oct-23,30-Sep-24,"RM965,000.00",0mps,,,,,,,,,,,,"[""3.126800, 101.675900""]",,https://teduh.kpkt.gov.my/project-swasta/1071-4,3,7
42,1 0 7 9 - 1 - T A M A N   S E G A R   F A S A   I I,PPB HARTABINA SDN. BHD.,1079,1079/12-2027/0193(R),6-Dec-22,5-Dec-27,-,-,-,"1079-1,",-,1079/1100/1994(10),9-Oct-93,8-Oct-94,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1079-1,3,8
43,1 0 7 9 - 2 - T A M A N   S E G A R   -   F A S A   2,PPB HARTABINA SDN. BHD.,1079,1079/12-2027/0193(R),6-Dec-22,5-Dec-27,-,-,-,"1079-2,",-,1079-2/2346/2005(01),6-Jan-04,5-Jan-05,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1079-2,3,9
44,1 0 7 9 - 3 - S E G A R   C O U R T S,PPB HARTABINA SDN. BHD.,1079,1079/12-2027/0193(R),6-Dec-22,5-Dec-27,-,-,-,"1079-3,",SIAP DENGAN: CFO PENUH,1079-3/887/2006(04),25-Apr-05,24-Apr-06,"RM191,600.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1079-3,3,10
45,1 0 7 9 - 4 - M A S E R A   B U K I T   S E G A R,PPB HARTABINA SDN. BHD.,1079,1079/12-2027/0193(R),6-Dec-22,5-Dec-27,-,-,-,"1079-4,",SIAP DENGAN: CCC PENUH,1079-4/07-2015/01981(P),2-Jul-14,1-Jul-15,"RM3,686,820.00",0mps - 679mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1079-4,3,11
46,1 0 7 9 - 5 - T A M A N   T A N A H   A M A N,PPB HARTABINA SDN. BHD.,1079,1079/12-2027/0193(R),6-Dec-22,5-Dec-27,-,-,-,"1079-5,",SIAP DENGAN: CFO PENUH,1079-5/11-2016/02505(P),22-Nov-15,21-Nov-16,"RM753,000.00",0mps - 508mps,,,,,,,,,,,,"[""5.354154, 100.430833""]",,https://teduh.kpkt.gov.my/project-swasta/1079-5,3,12
47,1 0 7 9 - 6 - M E G A H   R I S E,PPB HARTABINA SDN. BHD.,1079,1079/12-2027/0193(R),6-Dec-22,5-Dec-27,-,-,-,"1079-6,",SIAP DENGAN: CCC PENUH,1079-6/12-2022/03484(P),6-Dec-21,5-Dec-22,"RM894,800.00",112mps,,,,,,,,,,,,"[""3.114473, 101.611071""]",,https://teduh.kpkt.gov.my/project-swasta/1079-6,3,13
48,1 1 3 6 - 1 - B A N D A R   B A R U   A Y E R   I T A M,FARLIM GROUP (MALAYSIA) BERHAD,1136,1136/11-2028/1368(R),26-Nov-23,25-Nov-28,48298899,bidorcustomercare@farlim.com.my,-,"1136-1,",-,1136/1082/1998(09),24-Sep-97,23-Sep-98,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1136-1,3,14
